pid|size|stock|predictDate
10008|XL|12|2018-02-19
10015|L|5|2018-02-16
10046|L|5|2018-02-16
10063|M|5|2018-02-16
10065|2 ( 37-39 )|16|2018-02-19
10065|4 ( 43-45 )|31|2018-02-21
10073|L ( 40/42 )|7|2018-02-17
10073|XL ( 44/46 )|6|2018-02-16
10096|L|8|2018-02-17
10096|M|7|2018-02-17
10098|39|4|2018-02-16
10111|XL|4|2018-02-16
10125|S|5|2018-02-16
10158|L|4|2018-02-16
10158|M|5|2018-02-16
10164|S ( 128-140 )|4|2018-02-16
10169|4 ( 43-45 )|14|2018-02-19
10169|5 ( 46-48 )|12|2018-02-19
10170|L ( 42-46 )|9|2018-02-17
10197|L ( 42-46 )|8|2018-02-17
10197|M ( 38-42 )|12|2018-02-19
10197|S ( 34-38 )|6|2018-02-16
10222|XL|4|2018-02-16
10228|L|7|2018-02-17
10230|4 ( 43-46 )|5|2018-02-16
10261|1 ( Junior)|9|2018-02-17
10263|M|7|2018-02-17
10290|M|7|2018-02-17
10306|L ( 42-46 )|35|2018-02-21
10306|M ( 38-42 )|17|2018-02-19
10306|S ( 34-38 )|4|2018-02-16
10312|40|8|2018-02-17
10312|41 1/3|7|2018-02-17
10312|42|4|2018-02-16
10312|42 2/3|5|2018-02-16
10312|43 1/3|44|2018-02-23
10312|44|17|2018-02-19
10312|44 2/3|23|2018-02-21
10312|45 1/3|24|2018-02-21
10312|46 2/3|4|2018-02-16
10325|164|5|2018-02-16
10333|L ( 42-46 )|7|2018-02-17
10333|M ( 38-42 )|14|2018-02-19
10333|S ( 34-38 )|8|2018-02-17
10333|XL (46-50 )|6|2018-02-16
10361|M|6|2018-02-16
10361|S|5|2018-02-16
10378|2XL|5|2018-02-16
10378|L|31|2018-02-21
10378|M|12|2018-02-19
10378|XL|11|2018-02-19
10382|L|7|2018-02-17
10382|M|5|2018-02-16
10396|2XL|6|2018-02-16
10396|L|52|2018-02-23
10396|M|24|2018-02-21
10402|L|49|2018-02-23
10402|M|8|2018-02-17
10402|S|20|2018-02-21
10405|152|6|2018-02-16
10405|164|7|2018-02-17
10410|5 ( 43-46 )|7|2018-02-17
10414|L|15|2018-02-19
10414|XL|14|2018-02-19
10415|M|4|2018-02-16
10416|39 1/3|4|2018-02-16
10416|40|4|2018-02-16
10416|40 2/3|6|2018-02-16
10416|42|21|2018-02-21
10416|42 2/3|8|2018-02-17
10416|43 1/3|16|2018-02-19
10416|44|11|2018-02-19
10416|44 2/3|17|2018-02-19
10416|45 1/3|16|2018-02-19
10416|46|23|2018-02-21
10416|46 2/3|5|2018-02-16
10416|47 1/3|6|2018-02-16
10421|44	5|6|2018-02-16
10436|L|9|2018-02-17
10436|M|4|2018-02-16
10439|L|36|2018-02-21
10439|M|10|2018-02-19
10439|XL|6|2018-02-16
10447|2XL|15|2018-02-19
10447|L|36|2018-02-21
10447|M|165|2018-02-25
10447|S|20|2018-02-21
10447|XL|73|2018-02-23
10456|XL ( 158-170 )|5|2018-02-16
10463|2XL|5|2018-02-16
10463|L|6|2018-02-16
10463|M|7|2018-02-17
10463|XL|9|2018-02-17
10467|L|9|2018-02-17
10467|M|15|2018-02-19
10467|XL|6|2018-02-16
10470|42	5|4|2018-02-16
10511|42 2/3|4|2018-02-16
10519|L|5|2018-02-16
10519|M|5|2018-02-16
10519|S|4|2018-02-16
10559|4 ( 43-45 )|5|2018-02-16
10598|XL ( 158-170 )|5|2018-02-16
10609||8|2018-02-17
10610|164|4|2018-02-16
10616|L|10|2018-02-19
10616|XL|5|2018-02-16
10617|164|4|2018-02-16
10619|2XL|8|2018-02-17
10619|L|26|2018-02-21
10619|M|74|2018-02-23
10619|S|15|2018-02-19
10619|XL|11|2018-02-19
10620|37 1/3|4|2018-02-16
10620|38|7|2018-02-17
10628|4 ( 43-45 )|10|2018-02-19
10645|2XL|32|2018-02-21
10645|3XL|4|2018-02-16
10645|L|10|2018-02-19
10645|M|142|2018-02-25
10645|S|29|2018-02-21
10645|XL|21|2018-02-21
10677|5 ( 43-46 )|10|2018-02-19
10686|M|10|2018-02-19
10692|M|5|2018-02-16
10706|M ( 140-152 )|16|2018-02-19
10706|XL ( 158-170 )|14|2018-02-19
10707|L|4|2018-02-16
10707|M|7|2018-02-17
10707|S|10|2018-02-19
