[1] "Prediction Error: 2.98412"
BestTune:
  size decay     RMSE  Rsquared   RMSESD RsquaredSD
1    1   0.7 2.245412 0.3575751 0.616525  0.1103778
ResultsTune:
   size decay     RMSE  Rsquared    RMSESD RsquaredSD
1     1   0.3 2.254697 0.3533378 0.6062911  0.1116966
2     1   0.4 2.246996 0.3574980 0.6116920  0.1113274
3     1   0.5 2.248736 0.3564086 0.6122539  0.1106562
4     1   0.6 2.253481 0.3529182 0.6143584  0.1142359
5     1   0.7 2.245412 0.3575751 0.6165250  0.1103778
6     1   0.8 2.246410 0.3571107 0.6178634  0.1100585
7     2   0.3 2.385181 0.3406259 0.6477126  0.1279738
8     2   0.4 2.295401 0.3492674 0.5916405  0.1437245
9     2   0.5 2.337294 0.3421888 0.6152485  0.1291428
10    2   0.6 2.308995 0.3493995 0.6071695  0.1224327
11    2   0.7 2.317883 0.3485589 0.5930105  0.1247255
12    2   0.8 2.305221 0.3441798 0.5950761  0.1211931
13    3   0.3 2.458997 0.3210944 0.6567078  0.1353184
14    3   0.4 2.396235 0.3303726 0.5850316  0.1384129
15    3   0.5 2.347053 0.3389438 0.6032300  0.1310818
16    3   0.6 2.325662 0.3502571 0.6325094  0.1429703
17    3   0.7 2.317510 0.3484411 0.5831064  0.1262452
18    3   0.8 2.332863 0.3428823 0.5731883  0.1192407
19    4   0.3 2.413146 0.3281943 0.5901759  0.1304632
20    4   0.4 2.414179 0.3313224 0.6012513  0.1315559
21    4   0.5 2.384455 0.3411880 0.5995970  0.1293100
22    4   0.6 2.326843 0.3462810 0.5304768  0.1253755
23    4   0.7 2.305727 0.3522144 0.5638115  0.1334202
24    4   0.8 2.354094 0.3337724 0.5576491  0.1150753
25    5   0.3 2.485452 0.3073494 0.6185118  0.1292646
26    5   0.4 2.447357 0.3173463 0.5776953  0.1179488
27    5   0.5 2.388519 0.3296978 0.5579335  0.1141239
28    5   0.6 2.341513 0.3461728 0.5339138  0.1250587
29    5   0.7 2.417233 0.3211383 0.5882260  0.1235831
30    5   0.8 2.349857 0.3385859 0.5724295  0.1321175
