[1] "Prediction Error: 5.50936"
BestTune:
  size decay      RMSE  Rsquared    RMSESD RsquaredSD
1    5   0.8 0.9860619 0.3412901 0.1098639  0.1272568
ResultsTune:
   size decay      RMSE  Rsquared    RMSESD RsquaredSD
1     1   0.3 0.9934776 0.3269013 0.1069319  0.1292022
2     1   0.4 0.9935028 0.3270905 0.1076832  0.1282609
3     1   0.5 0.9938614 0.3258531 0.1077920  0.1275331
4     1   0.6 0.9937377 0.3261134 0.1080332  0.1270306
5     1   0.7 0.9945187 0.3251890 0.1085818  0.1266248
6     1   0.8 0.9954033 0.3243795 0.1107057  0.1262946
7     2   0.3 1.0122487 0.3144131 0.1213315  0.1341837
8     2   0.4 1.0073547 0.3193919 0.1183884  0.1254731
9     2   0.5 1.0038000 0.3196037 0.1192597  0.1354448
10    2   0.6 0.9988974 0.3279115 0.1065683  0.1285099
11    2   0.7 1.0027341 0.3224165 0.1156433  0.1223611
12    2   0.8 1.0022203 0.3207866 0.1117968  0.1299932
13    3   0.3 1.0162500 0.3107440 0.1128384  0.1253527
14    3   0.4 1.0060139 0.3259844 0.1122622  0.1227214
15    3   0.5 0.9985527 0.3284459 0.1058322  0.1268890
16    3   0.6 0.9923418 0.3350459 0.1080664  0.1271135
17    3   0.7 1.0016970 0.3266369 0.1124969  0.1233923
18    3   0.8 0.9895829 0.3360131 0.1031379  0.1293010
19    4   0.3 1.0130782 0.3214787 0.1060043  0.1231475
20    4   0.4 1.0081459 0.3281820 0.1110921  0.1254067
21    4   0.5 0.9992414 0.3304132 0.1073841  0.1250132
22    4   0.6 0.9984507 0.3286777 0.1075337  0.1234946
23    4   0.7 0.9934945 0.3373431 0.1120905  0.1307442
24    4   0.8 0.9947159 0.3358488 0.1094114  0.1265049
25    5   0.3 1.0096540 0.3235671 0.1026282  0.1266263
26    5   0.4 1.0002593 0.3309559 0.1062741  0.1264818
27    5   0.5 0.9960311 0.3348154 0.1063659  0.1250514
28    5   0.6 0.9949736 0.3346690 0.1145464  0.1232698
29    5   0.7 0.9918696 0.3348103 0.1057824  0.1169488
30    5   0.8 0.9860619 0.3412901 0.1098639  0.1272568
