[1] "Prediction Error: 1.57966"
BestTune:
  size decay     RMSE  Rsquared    RMSESD RsquaredSD
1    4   0.7 1.484311 0.4680336 0.1757118  0.1299343
ResultsTune:
   size decay     RMSE  Rsquared    RMSESD RsquaredSD
1     1   0.3 1.673568 0.3298066 0.1854192  0.1636464
2     1   0.4 1.673585 0.3275468 0.1832215  0.1615429
3     1   0.5 1.672243 0.3279075 0.1858238  0.1608072
4     1   0.6 1.670052 0.3297987 0.1854274  0.1621308
5     1   0.7 1.668983 0.3303684 0.1913938  0.1592277
6     1   0.8 1.667776 0.3293971 0.1897469  0.1572592
7     2   0.3 1.536285 0.4366184 0.1898210  0.1421536
8     2   0.4 1.554577 0.4233975 0.2240644  0.1471913
9     2   0.5 1.541554 0.4304530 0.2041895  0.1480998
10    2   0.6 1.526807 0.4374715 0.2121941  0.1615031
11    2   0.7 1.520142 0.4426423 0.1959031  0.1511299
12    2   0.8 1.502122 0.4550265 0.1812840  0.1406790
13    3   0.3 1.547083 0.4410459 0.2196433  0.1420159
14    3   0.4 1.527519 0.4495464 0.2148562  0.1370100
15    3   0.5 1.506050 0.4572437 0.1862871  0.1252873
16    3   0.6 1.529114 0.4429043 0.2031372  0.1384626
17    3   0.7 1.507840 0.4550436 0.1860009  0.1349079
18    3   0.8 1.505121 0.4578806 0.1928047  0.1349654
19    4   0.3 1.540795 0.4427432 0.2117396  0.1375440
20    4   0.4 1.507379 0.4607476 0.1890577  0.1287840
21    4   0.5 1.512120 0.4547349 0.1975537  0.1324249
22    4   0.6 1.532017 0.4429621 0.2133740  0.1350087
23    4   0.7 1.484311 0.4680336 0.1757118  0.1299343
24    4   0.8 1.501934 0.4575559 0.1846252  0.1210522
25    5   0.3 1.535708 0.4473155 0.2009796  0.1443786
26    5   0.4 1.522056 0.4472088 0.1869940  0.1322836
27    5   0.5 1.520429 0.4557741 0.2063892  0.1298841
28    5   0.6 1.497906 0.4620437 0.1649977  0.1272303
29    5   0.7 1.493874 0.4623864 0.1917424  0.1317177
30    5   0.8 1.490086 0.4680768 0.1784248  0.1279376
