BestTune:
  size decay Accuracy     Kappa AccuracySD    KappaSD
1    5   0.3 0.874793 0.3046446 0.00398235 0.02532822
TuneResults:
   size decay  Accuracy     Kappa  AccuracySD    KappaSD
1     1   0.3 0.8667586 0.2203653 0.003319257 0.02262347
2     1   0.4 0.8667720 0.2202532 0.003419405 0.02401016
3     1   0.5 0.8667354 0.2192493 0.003320619 0.02271113
4     1   0.6 0.8667121 0.2189287 0.003326570 0.02271406
5     1   0.7 0.8667055 0.2187008 0.003338476 0.02312709
6     1   0.8 0.8666822 0.2179110 0.003370814 0.02289648
7     2   0.3 0.8713245 0.2681357 0.003899478 0.02615645
8     2   0.4 0.8712182 0.2674425 0.003817225 0.02444671
9     2   0.5 0.8714176 0.2669678 0.003866845 0.02517542
10    2   0.6 0.8710884 0.2660317 0.004055202 0.02751941
11    2   0.7 0.8710551 0.2645849 0.003995596 0.02704473
12    2   0.8 0.8709155 0.2639054 0.003890315 0.02507139
13    3   0.3 0.8741411 0.2926818 0.003474523 0.02267471
14    3   0.4 0.8741877 0.2905297 0.004303092 0.02824974
15    3   0.5 0.8741511 0.2887824 0.003836894 0.02506002
16    3   0.6 0.8736723 0.2861921 0.003574826 0.02477838
17    3   0.7 0.8736856 0.2855688 0.003863906 0.02544593
18    3   0.8 0.8738054 0.2842768 0.003930908 0.02526090
19    4   0.3 0.8747564 0.2997140 0.003923059 0.02529571
20    4   0.4 0.8747598 0.2990519 0.003636047 0.02358501
21    4   0.5 0.8745037 0.2979699 0.003867825 0.02451361
22    4   0.6 0.8745402 0.2964527 0.004094509 0.02671858
23    4   0.7 0.8741545 0.2920266 0.003758499 0.02642315
24    4   0.8 0.8744870 0.2947671 0.004199358 0.02770071
25    5   0.3 0.8747930 0.3046446 0.003982350 0.02532822
26    5   0.4 0.8746334 0.3031979 0.004088073 0.02748185
27    5   0.5 0.8745170 0.3010482 0.003675108 0.02376716
28    5   0.6 0.8745769 0.3004229 0.003569608 0.02383492
29    5   0.7 0.8746134 0.3007174 0.004125704 0.02667000
30    5   0.8 0.8743907 0.2995236 0.003969522 0.02534747
