[1] "Prediction Error: 3.59443"
BestTune:
  alpha lambda     RMSE  Rsquared       MAE    RMSESD RsquaredSD       MAESD
1     1      0 1.310089 0.1349554 0.3941386 0.2110976 0.02778169 0.009546941
ResultsTune:
        alpha     lambda     RMSE   Rsquared       MAE    RMSESD RsquaredSD
1   0.0000000  0.0000000 1.311056 0.13362719 0.3897654 0.2115921 0.02769925
2   0.0000000  0.7142857 1.321278 0.13138716 0.3577313 0.2152602 0.02674632
3   0.0000000  1.4285714 1.333488 0.13026585 0.3500347 0.2161783 0.02620230
4   0.0000000  2.1428571 1.343361 0.12937383 0.3516730 0.2163270 0.02582797
5   0.0000000  2.8571429 1.351064 0.12865472 0.3559152 0.2162361 0.02555270
6   0.0000000  3.5714286 1.357133 0.12806731 0.3604191 0.2160669 0.02534126
7   0.0000000  4.2857143 1.362020 0.12757634 0.3643393 0.2158912 0.02517148
8   0.0000000  5.0000000 1.366024 0.12716068 0.3675620 0.2157318 0.02503152
9   0.0000000  5.7142857 1.369343 0.12680914 0.3701977 0.2155664 0.02491691
10  0.0000000  6.4285714 1.372152 0.12650338 0.3723965 0.2154312 0.02481803
11  0.0000000  7.1428571 1.374562 0.12623523 0.3742565 0.2153033 0.02473287
12  0.0000000  7.8571429 1.376642 0.12600017 0.3758437 0.2151859 0.02465943
13  0.0000000  8.5714286 1.378453 0.12579271 0.3772148 0.2150789 0.02459531
14  0.0000000  9.2857143 1.380047 0.12560795 0.3784123 0.2149797 0.02453903
15  0.0000000 10.0000000 1.381467 0.12544072 0.3794728 0.2148865 0.02448861
16  0.1111111  0.0000000 1.310112 0.13492311 0.3940128 0.2111073 0.02778742
17  0.1111111  0.7142857 1.344102 0.11483238 0.3554047 0.2160667 0.02656920
18  0.1111111  1.4285714 1.371956 0.09801219 0.3736274 0.2154183 0.02420180
19  0.1111111  2.1428571 1.389862 0.08610828 0.3864387 0.2145773 0.02185672
20  0.1111111  2.8571429 1.400716 0.06950272 0.3934568 0.2137752 0.01874504
21  0.1111111  3.5714286 1.405029        NaN 0.3960465 0.2131890         NA
22  0.1111111  4.2857143 1.405029        NaN 0.3960465 0.2131890         NA
23  0.1111111  5.0000000 1.405029        NaN 0.3960465 0.2131890         NA
24  0.1111111  5.7142857 1.405029        NaN 0.3960465 0.2131890         NA
25  0.1111111  6.4285714 1.405029        NaN 0.3960465 0.2131890         NA
26  0.1111111  7.1428571 1.405029        NaN 0.3960465 0.2131890         NA
27  0.1111111  7.8571429 1.405029        NaN 0.3960465 0.2131890         NA
28  0.1111111  8.5714286 1.405029        NaN 0.3960465 0.2131890         NA
29  0.1111111  9.2857143 1.405029        NaN 0.3960465 0.2131890         NA
30  0.1111111 10.0000000 1.405029        NaN 0.3960465 0.2131890         NA
31  0.2222222  0.0000000 1.310097 0.13494451 0.3940849 0.2111011 0.02778257
32  0.2222222  0.7142857 1.363064 0.09778185 0.3672240 0.2156441 0.02417676
