[1] "Prediction Error: 2.00118"
BestTune:
  alpha lambda   RMSE  Rsquared       MAE    RMSESD RsquaredSD      MAESD
1     1      0 1.7771 0.1923044 0.5251724 0.3769224  0.0568443 0.01364978
ResultsTune:
        alpha     lambda     RMSE  Rsquared       MAE    RMSESD RsquaredSD
1   0.0000000  0.0000000 1.777631 0.1917567 0.5175064 0.3777131 0.05689894
2   0.0000000  0.7142857 1.786537 0.1906916 0.4827496 0.3819321 0.05730111
3   0.0000000  1.4285714 1.801492 0.1898534 0.4747940 0.3835897 0.05746824
4   0.0000000  2.1428571 1.816174 0.1891695 0.4789422 0.3840311 0.05752648
5   0.0000000  2.8571429 1.829247 0.1886165 0.4861335 0.3839628 0.05754269
6   0.0000000  3.5714286 1.840596 0.1881649 0.4931107 0.3836692 0.05754165
7   0.0000000  4.2857143 1.850393 0.1877938 0.4991786 0.3833027 0.05753164
8   0.0000000  5.0000000 1.858868 0.1874847 0.5043098 0.3829241 0.05751759
9   0.0000000  5.7142857 1.866262 0.1872196 0.5087098 0.3825183 0.05750407
10  0.0000000  6.4285714 1.872719 0.1869953 0.5124855 0.3821555 0.05748907
11  0.0000000  7.1428571 1.878431 0.1867995 0.5157722 0.3818108 0.05747407
12  0.0000000  7.8571429 1.883500 0.1866278 0.5186405 0.3814827 0.05746016
13  0.0000000  8.5714286 1.888023 0.1864763 0.5211704 0.3811744 0.05744733
14  0.0000000  9.2857143 1.892087 0.1863411 0.5234191 0.3808824 0.05743556
15  0.0000000 10.0000000 1.895769 0.1862193 0.5254328 0.3806110 0.05742408
16  0.1111111  0.0000000 1.777147 0.1922530 0.5250625 0.3769186 0.05683342
17  0.1111111  0.7142857 1.805100 0.1819589 0.4834665 0.3828712 0.05466452
18  0.1111111  1.4285714 1.840655 0.1734754 0.4935193 0.3831653 0.05269096
19  0.1111111  2.1428571 1.870536 0.1694310 0.5081649 0.3821881 0.05196119
20  0.1111111  2.8571429 1.895547 0.1681492 0.5229317 0.3809264 0.05180791
21  0.1111111  3.5714286 1.917376 0.1638507 0.5355938 0.3795287 0.05085292
22  0.1111111  4.2857143 1.936216 0.1485594 0.5462083 0.3780966 0.04652462
23  0.1111111  5.0000000 1.949018 0.1366237 0.5530776 0.3767815 0.04480377
24  0.1111111  5.7142857 1.958349 0.1366189 0.5578204 0.3760663 0.04480782
25  0.1111111  6.4285714 1.965466 0.1136374 0.5613811 0.3748572 0.03501883
26  0.1111111  7.1428571 1.965793       NaN 0.5615645 0.3746291         NA
27  0.1111111  7.8571429 1.965793       NaN 0.5615645 0.3746291         NA
28  0.1111111  8.5714286 1.965793       NaN 0.5615645 0.3746291         NA
29  0.1111111  9.2857143 1.965793       NaN 0.5615645 0.3746291         NA
30  0.1111111 10.0000000 1.965793       NaN 0.5615645 0.3746291         NA
31  0.2222222  0.0000000 1.777137 0.1922650 0.5251088 0.3769139 0.05683104
32  0.2222222  0.7142857 1.823137 0.1725692 0.4917675 0.3827614 0.05255968
33  0.2222222  1.4285714 1.872638 0.1669432 0.5096482 0.3821214 0.05161740
34  0.2222222  2.1428571 1.922008 0.1429782 0.5385034 0.3793746 0.04504701
35  0.2222222  2.8571429 1.953477 0.1366189 0.5553068 0.3769450 0.04480782
36  0.2222222  3.5714286 1.965793       NaN 0.5615645 0.3746291         NA
37  0.2222222  4.2857143 1.965793       NaN 0.5615645 0.3746291         NA
38  0.2222222  5.0000000 1.965793       NaN 0.5615645 0.3746291         NA
39  0.2222222  5.7142857 1.965793       NaN 0.5615645 0.3746291         NA
40  0.2222222  6.4285714 1.965793       NaN 0.5615645 0.3746291         NA
41  0.2222222  7.1428571 1.965793       NaN 0.5615645 0.3746291         NA
42  0.2222222  7.8571429 1.965793       NaN 0.5615645 0.3746291         NA
43  0.2222222  8.5714286 1.965793       NaN 0.5615645 0.3746291         NA
44  0.2222222  9.2857143 1.965793       NaN 0.5615645 0.3746291         NA
45  0.2222222 10.0000000 1.965793       NaN 0.5615645 0.3746291         NA
46  0.3333333  0.0000000 1.777120 0.1922827 0.5251417 0.3769149 0.05683341
47  0.3333333  0.7142857 1.838359 0.1685191 0.4946696 0.3827040 0.05190165
48  0.3333333  1.4285714 1.913254 0.1409323 0.5336092 0.3800038 0.04451682
49  0.3333333  2.1428571 1.965081 0.1136374 0.5611636 0.3751238 0.03501883
50  0.3333333  2.8571429 1.965793       NaN 0.5615645 0.3746291         NA
51  0.3333333  3.5714286 1.965793       NaN 0.5615645 0.3746291         NA
52  0.3333333  4.2857143 1.965793       NaN 0.5615645 0.3746291         NA
53  0.3333333  5.0000000 1.965793       NaN 0.5615645 0.3746291         NA
54  0.3333333  5.7142857 1.965793       NaN 0.5615645 0.3746291         NA
55  0.3333333  6.4285714 1.965793       NaN 0.5615645 0.3746291         NA
56  0.3333333  7.1428571 1.965793       NaN 0.5615645 0.3746291         NA
57  0.3333333  7.8571429 1.965793       NaN 0.5615645 0.3746291         NA
58  0.3333333  8.5714286 1.965793       NaN 0.5615645 0.3746291         NA
59  0.3333333  9.2857143 1.965793       NaN 0.5615645 0.3746291         NA
60  0.3333333 10.0000000 1.965793       NaN 0.5615645 0.3746291         NA
61  0.4444444  0.0000000 1.777103 0.1922978 0.5251543 0.3769123 0.05683050
62  0.4444444  0.7142857 1.855297 0.1653476 0.5006636 0.3825260 0.05133983
63  0.4444444  1.4285714 1.947489 0.1366189 0.5521527 0.3779554 0.04480782
64  0.4444444  2.1428571 1.965793       NaN 0.5615645 0.3746291         NA
65  0.4444444  2.8571429 1.965793       NaN 0.5615645 0.3746291         NA
66  0.4444444  3.5714286 1.965793       NaN 0.5615645 0.3746291         NA
67  0.4444444  4.2857143 1.965793       NaN 0.5615645 0.3746291         NA
68  0.4444444  5.0000000 1.965793       NaN 0.5615645 0.3746291         NA
69  0.4444444  5.7142857 1.965793       NaN 0.5615645 0.3746291         NA
70  0.4444444  6.4285714 1.965793       NaN 0.5615645 0.3746291         NA
71  0.4444444  7.1428571 1.965793       NaN 0.5615645 0.3746291         NA
72  0.4444444  7.8571429 1.965793       NaN 0.5615645 0.3746291         NA
73  0.4444444  8.5714286 1.965793       NaN 0.5615645 0.3746291         NA
74  0.4444444  9.2857143 1.965793       NaN 0.5615645 0.3746291         NA
75  0.4444444 10.0000000 1.965793       NaN 0.5615645 0.3746291         NA
76  0.5555556  0.0000000 1.777109 0.1922951 0.5251537 0.3769187 0.05683569
77  0.5555556  0.7142857 1.876451 0.1564340 0.5123932 0.3818738 0.04920085
78  0.5555556  1.4285714 1.965793       NaN 0.5615645 0.3746291         NA
79  0.5555556  2.1428571 1.965793       NaN 0.5615645 0.3746291         NA
80  0.5555556  2.8571429 1.965793       NaN 0.5615645 0.3746291         NA
81  0.5555556  3.5714286 1.965793       NaN 0.5615645 0.3746291         NA
82  0.5555556  4.2857143 1.965793       NaN 0.5615645 0.3746291         NA
83  0.5555556  5.0000000 1.965793       NaN 0.5615645 0.3746291         NA
84  0.5555556  5.7142857 1.965793       NaN 0.5615645 0.3746291         NA
85  0.5555556  6.4285714 1.965793       NaN 0.5615645 0.3746291         NA
86  0.5555556  7.1428571 1.965793       NaN 0.5615645 0.3746291         NA
87  0.5555556  7.8571429 1.965793       NaN 0.5615645 0.3746291         NA
88  0.5555556  8.5714286 1.965793       NaN 0.5615645 0.3746291         NA
89  0.5555556  9.2857143 1.965793       NaN 0.5615645 0.3746291         NA
90  0.5555556 10.0000000 1.965793       NaN 0.5615645 0.3746291         NA
91  0.6666667  0.0000000 1.777114 0.1922884 0.5251566 0.3769114 0.05683000
92  0.6666667  0.7142857 1.899942 0.1387602 0.5260156 0.3805617 0.04471684
93  0.6666667  1.4285714 1.965793       NaN 0.5615645 0.3746291         NA
94  0.6666667  2.1428571 1.965793       NaN 0.5615645 0.3746291         NA
95  0.6666667  2.8571429 1.965793       NaN 0.5615645 0.3746291         NA
96  0.6666667  3.5714286 1.965793       NaN 0.5615645 0.3746291         NA
97  0.6666667  4.2857143 1.965793       NaN 0.5615645 0.3746291         NA
98  0.6666667  5.0000000 1.965793       NaN 0.5615645 0.3746291         NA
99  0.6666667  5.7142857 1.965793       NaN 0.5615645 0.3746291         NA
100 0.6666667  6.4285714 1.965793       NaN 0.5615645 0.3746291         NA
101 0.6666667  7.1428571 1.965793       NaN 0.5615645 0.3746291         NA
102 0.6666667  7.8571429 1.965793       NaN 0.5615645 0.3746291         NA
103 0.6666667  8.5714286 1.965793       NaN 0.5615645 0.3746291         NA
104 0.6666667  9.2857143 1.965793       NaN 0.5615645 0.3746291         NA
105 0.6666667 10.0000000 1.965793       NaN 0.5615645 0.3746291         NA
106 0.7777778  0.0000000 1.777106 0.1922975 0.5251621 0.3769182 0.05683801
107 0.7777778  0.7142857 1.919225 0.1366189 0.5369044 0.3797069 0.04480782
108 0.7777778  1.4285714 1.965793       NaN 0.5615645 0.3746291         NA
109 0.7777778  2.1428571 1.965793       NaN 0.5615645 0.3746291         NA
110 0.7777778  2.8571429 1.965793       NaN 0.5615645 0.3746291         NA
111 0.7777778  3.5714286 1.965793       NaN 0.5615645 0.3746291         NA
112 0.7777778  4.2857143 1.965793       NaN 0.5615645 0.3746291         NA
113 0.7777778  5.0000000 1.965793       NaN 0.5615645 0.3746291         NA
114 0.7777778  5.7142857 1.965793       NaN 0.5615645 0.3746291         NA
115 0.7777778  6.4285714 1.965793       NaN 0.5615645 0.3746291         NA
116 0.7777778  7.1428571 1.965793       NaN 0.5615645 0.3746291         NA
117 0.7777778  7.8571429 1.965793       NaN 0.5615645 0.3746291         NA
118 0.7777778  8.5714286 1.965793       NaN 0.5615645 0.3746291         NA
119 0.7777778  9.2857143 1.965793       NaN 0.5615645 0.3746291         NA
120 0.7777778 10.0000000 1.965793       NaN 0.5615645 0.3746291         NA
121 0.8888889  0.0000000 1.777104 0.1923002 0.5251678 0.3769198 0.05683812
122 0.8888889  0.7142857 1.941614 0.1366189 0.5490036 0.3788698 0.04480782
123 0.8888889  1.4285714 1.965793       NaN 0.5615645 0.3746291         NA
124 0.8888889  2.1428571 1.965793       NaN 0.5615645 0.3746291         NA
125 0.8888889  2.8571429 1.965793       NaN 0.5615645 0.3746291         NA
126 0.8888889  3.5714286 1.965793       NaN 0.5615645 0.3746291         NA
127 0.8888889  4.2857143 1.965793       NaN 0.5615645 0.3746291         NA
128 0.8888889  5.0000000 1.965793       NaN 0.5615645 0.3746291         NA
129 0.8888889  5.7142857 1.965793       NaN 0.5615645 0.3746291         NA
130 0.8888889  6.4285714 1.965793       NaN 0.5615645 0.3746291         NA
131 0.8888889  7.1428571 1.965793       NaN 0.5615645 0.3746291         NA
132 0.8888889  7.8571429 1.965793       NaN 0.5615645 0.3746291         NA
133 0.8888889  8.5714286 1.965793       NaN 0.5615645 0.3746291         NA
134 0.8888889  9.2857143 1.965793       NaN 0.5615645 0.3746291         NA
135 0.8888889 10.0000000 1.965793       NaN 0.5615645 0.3746291         NA
136 1.0000000  0.0000000 1.777100 0.1923044 0.5251724 0.3769224 0.05684430
137 1.0000000  0.7142857 1.964620 0.1136374 0.5609014 0.3754392 0.03501883
138 1.0000000  1.4285714 1.965793       NaN 0.5615645 0.3746291         NA
139 1.0000000  2.1428571 1.965793       NaN 0.5615645 0.3746291         NA
140 1.0000000  2.8571429 1.965793       NaN 0.5615645 0.3746291         NA
141 1.0000000  3.5714286 1.965793       NaN 0.5615645 0.3746291         NA
142 1.0000000  4.2857143 1.965793       NaN 0.5615645 0.3746291         NA
143 1.0000000  5.0000000 1.965793       NaN 0.5615645 0.3746291         NA
144 1.0000000  5.7142857 1.965793       NaN 0.5615645 0.3746291         NA
145 1.0000000  6.4285714 1.965793       NaN 0.5615645 0.3746291         NA
146 1.0000000  7.1428571 1.965793       NaN 0.5615645 0.3746291         NA
147 1.0000000  7.8571429 1.965793       NaN 0.5615645 0.3746291         NA
148 1.0000000  8.5714286 1.965793       NaN 0.5615645 0.3746291         NA
149 1.0000000  9.2857143 1.965793       NaN 0.5615645 0.3746291         NA
150 1.0000000 10.0000000 1.965793       NaN 0.5615645 0.3746291         NA
         MAESD
1   0.01373671
2   0.01400155
3   0.01475267
4   0.01535620
5   0.01567367
6   0.01582211
7   0.01588700
8   0.01592676
9   0.01593364
10  0.01593847
11  0.01593467
12  0.01592560
13  0.01591606
14  0.01589642
15  0.01588183
16  0.01365577
17  0.01438610
18  0.01565735
19  0.01619739
20  0.01637788
21  0.01644753
22  0.01643218
23  0.01614541
24  0.01612203
25  0.01575257
26  0.01559302
27  0.01559302
28  0.01559302
29  0.01559302
30  0.01559302
31  0.01364850
32  0.01493302
33  0.01639179
34  0.01672952
35  0.01646713
36  0.01559302
37  0.01559302
38  0.01559302
39  0.01559302
40  0.01559302
41  0.01559302
42  0.01559302
43  0.01559302
44  0.01559302
45  0.01559302
46  0.01364827
47  0.01525541
48  0.01683303
49  0.01594512
50  0.01559302
51  0.01559302
52  0.01559302
53  0.01559302
54  0.01559302
55  0.01559302
56  0.01559302
57  0.01559302
58  0.01559302
59  0.01559302
60  0.01559302
61  0.01365469
62  0.01601230
63  0.01688012
64  0.01559302
65  0.01559302
66  0.01559302
67  0.01559302
68  0.01559302
69  0.01559302
70  0.01559302
71  0.01559302
72  0.01559302
73  0.01559302
74  0.01559302
75  0.01559302
76  0.01365056
77  0.01663677
78  0.01559302
79  0.01559302
80  0.01559302
81  0.01559302
82  0.01559302
83  0.01559302
84  0.01559302
85  0.01559302
86  0.01559302
87  0.01559302
88  0.01559302
89  0.01559302
90  0.01559302
91  0.01365086
92  0.01679189
93  0.01559302
94  0.01559302
95  0.01559302
96  0.01559302
97  0.01559302
98  0.01559302
99  0.01559302
100 0.01559302
101 0.01559302
102 0.01559302
103 0.01559302
104 0.01559302
105 0.01559302
106 0.01365089
107 0.01692708
108 0.01559302
109 0.01559302
110 0.01559302
111 0.01559302
112 0.01559302
113 0.01559302
114 0.01559302
115 0.01559302
116 0.01559302
117 0.01559302
118 0.01559302
119 0.01559302
120 0.01559302
121 0.01364674
122 0.01727027
123 0.01559302
124 0.01559302
125 0.01559302
126 0.01559302
127 0.01559302
128 0.01559302
129 0.01559302
130 0.01559302
131 0.01559302
132 0.01559302
133 0.01559302
134 0.01559302
135 0.01559302
136 0.01364978
137 0.01618185
138 0.01559302
139 0.01559302
140 0.01559302
141 0.01559302
142 0.01559302
143 0.01559302
144 0.01559302
145 0.01559302
146 0.01559302
147 0.01559302
148 0.01559302
149 0.01559302
150 0.01559302
