[1] "Prediction Error: 2.50698"
BestTune:
  alpha lambda      RMSE   Rsquared        MAE     RMSESD  RsquaredSD
1     1      0 0.2227336 0.03990416 0.05440299 0.04307126 0.008796247
       MAESD
1 0.00231001
ResultsTune:
        alpha     lambda      RMSE   Rsquared        MAE     RMSESD  RsquaredSD
1   0.0000000  0.0000000 0.2232512 0.03500336 0.05496448 0.04321025 0.007139653
2   0.0000000  0.7142857 0.2254479 0.02894203 0.04650771 0.04361494 0.005610385
3   0.0000000  1.4285714 0.2260480 0.02824596 0.04674074 0.04359877 0.005494640
4   0.0000000  2.1428571 0.2263212 0.02791169 0.04683682 0.04358481 0.005439000
5   0.0000000  2.8571429 0.2264775 0.02771449 0.04688949 0.04357540 0.005406029
6   0.0000000  3.5714286 0.2265790 0.02758394 0.04692283 0.04356880 0.005384138
7   0.0000000  4.2857143 0.2266497 0.02749205 0.04694571 0.04356386 0.005368722
8   0.0000000  5.0000000 0.2267019 0.02742386 0.04696239 0.04355998 0.005357280
9   0.0000000  5.7142857 0.2267424 0.02737024 0.04697523 0.04355705 0.005348250
10  0.0000000  6.4285714 0.2267743 0.02732825 0.04698527 0.04355451 0.005341196
11  0.0000000  7.1428571 0.2268001 0.02729396 0.04699337 0.04355255 0.005335426
12  0.0000000  7.8571429 0.2268216 0.02726528 0.04700007 0.04355089 0.005330588
13  0.0000000  8.5714286 0.2268397 0.02724096 0.04700571 0.04354947 0.005326481
14  0.0000000  9.2857143 0.2268552 0.02722004 0.04701053 0.04354826 0.005322943
15  0.0000000 10.0000000 0.2268685 0.02720212 0.04701466 0.04354727 0.005319903
16  0.1111111  0.0000000 0.2227466 0.03975567 0.05443151 0.04308554 0.008708758
17  0.1111111  0.7142857 0.2270507        NaN 0.04707009 0.04353212          NA
18  0.1111111  1.4285714 0.2270507        NaN 0.04707009 0.04353212          NA
19  0.1111111  2.1428571 0.2270507        NaN 0.04707009 0.04353212          NA
20  0.1111111  2.8571429 0.2270507        NaN 0.04707009 0.04353212          NA
21  0.1111111  3.5714286 0.2270507        NaN 0.04707009 0.04353212          NA
22  0.1111111  4.2857143 0.2270507        NaN 0.04707009 0.04353212          NA
23  0.1111111  5.0000000 0.2270507        NaN 0.04707009 0.04353212          NA
24  0.1111111  5.7142857 0.2270507        NaN 0.04707009 0.04353212          NA
25  0.1111111  6.4285714 0.2270507        NaN 0.04707009 0.04353212          NA
26  0.1111111  7.1428571 0.2270507        NaN 0.04707009 0.04353212          NA
27  0.1111111  7.8571429 0.2270507        NaN 0.04707009 0.04353212          NA
28  0.1111111  8.5714286 0.2270507        NaN 0.04707009 0.04353212          NA
29  0.1111111  9.2857143 0.2270507        NaN 0.04707009 0.04353212          NA
30  0.1111111 10.0000000 0.2270507        NaN 0.04707009 0.04353212          NA
31  0.2222222  0.0000000 0.2227387 0.03984184 0.05441316 0.04307811 0.008756382
32  0.2222222  0.7142857 0.2270507        NaN 0.04707009 0.04353212          NA
33  0.2222222  1.4285714 0.2270507        NaN 0.04707009 0.04353212          NA
34  0.2222222  2.1428571 0.2270507        NaN 0.04707009 0.04353212          NA
35  0.2222222  2.8571429 0.2270507        NaN 0.04707009 0.04353212          NA
36  0.2222222  3.5714286 0.2270507        NaN 0.04707009 0.04353212          NA
37  0.2222222  4.2857143 0.2270507        NaN 0.04707009 0.04353212          NA
38  0.2222222  5.0000000 0.2270507        NaN 0.04707009 0.04353212          NA
39  0.2222222  5.7142857 0.2270507        NaN 0.04707009 0.04353212          NA
40  0.2222222  6.4285714 0.2270507        NaN 0.04707009 0.04353212          NA
41  0.2222222  7.1428571 0.2270507        NaN 0.04707009 0.04353212          NA
42  0.2222222  7.8571429 0.2270507        NaN 0.04707009 0.04353212          NA
43  0.2222222  8.5714286 0.2270507        NaN 0.04707009 0.04353212          NA
44  0.2222222  9.2857143 0.2270507        NaN 0.04707009 0.04353212          NA
45  0.2222222 10.0000000 0.2270507        NaN 0.04707009 0.04353212          NA
46  0.3333333  0.0000000 0.2227365 0.03986927 0.05440853 0.04307541 0.008773302
47  0.3333333  0.7142857 0.2270507        NaN 0.04707009 0.04353212          NA
48  0.3333333  1.4285714 0.2270507        NaN 0.04707009 0.04353212          NA
