[1] "Prediction Error: 1.80813"
BestTune:
  alpha lambda     RMSE  Rsquared       MAE    RMSESD RsquaredSD       MAESD
1     0      0 1.309124 0.1365517 0.3840908 0.2209555 0.03780587 0.009432725
ResultsTune:
        alpha     lambda     RMSE   Rsquared       MAE    RMSESD RsquaredSD
1   0.0000000  0.0000000 1.309124 0.13655174 0.3840908 0.2209555 0.03780587
2   0.0000000  0.7142857 1.317846 0.13191463 0.3544785 0.2232512 0.03735600
3   0.0000000  1.4285714 1.327569 0.12811493 0.3472975 0.2234301 0.03683800
4   0.0000000  2.1428571 1.335614 0.12537337 0.3493520 0.2231740 0.03641571
5   0.0000000  2.8571429 1.342203 0.12331785 0.3535664 0.2228138 0.03607552
6   0.0000000  3.5714286 1.347650 0.12172963 0.3575862 0.2224456 0.03579759
7   0.0000000  4.2857143 1.352241 0.12045458 0.3610565 0.2220928 0.03556703
8   0.0000000  5.0000000 1.356166 0.11940564 0.3639944 0.2217656 0.03537190
9   0.0000000  5.7142857 1.359516 0.11854896 0.3664651 0.2214737 0.03520779
10  0.0000000  6.4285714 1.362455 0.11781377 0.3685985 0.2212070 0.03506342
11  0.0000000  7.1428571 1.365034 0.11718553 0.3704450 0.2209614 0.03494103
12  0.0000000  7.8571429 1.367311 0.11664396 0.3720584 0.2207396 0.03483366
13  0.0000000  8.5714286 1.369337 0.11617250 0.3734755 0.2205401 0.03473862
14  0.0000000  9.2857143 1.371150 0.11575847 0.3747307 0.2203577 0.03465431
15  0.0000000 10.0000000 1.372784 0.11539104 0.3758536 0.2201878 0.03458114
16  0.1111111  0.0000000 1.309146 0.13658341 0.3869730 0.2205939 0.03777814
17  0.1111111  0.7142857 1.346062 0.10424477 0.3584369 0.2223062 0.03252963
18  0.1111111  1.4285714 1.370085 0.08540823 0.3768337 0.2204039 0.02841740
19  0.1111111  2.1428571 1.384738 0.08553887 0.3854180 0.2190313 0.02817119
20  0.1111111  2.8571429 1.396909 0.08307820 0.3920722 0.2176300 0.02690817
21  0.1111111  3.5714286 1.404421 0.06804989 0.3959942 0.2166166 0.01688529
22  0.1111111  4.2857143 1.404516        NaN 0.3960478 0.2165580         NA
23  0.1111111  5.0000000 1.404516        NaN 0.3960478 0.2165580         NA
24  0.1111111  5.7142857 1.404516        NaN 0.3960478 0.2165580         NA
25  0.1111111  6.4285714 1.404516        NaN 0.3960478 0.2165580         NA
26  0.1111111  7.1428571 1.404516        NaN 0.3960478 0.2165580         NA
27  0.1111111  7.8571429 1.404516        NaN 0.3960478 0.2165580         NA
28  0.1111111  8.5714286 1.404516        NaN 0.3960478 0.2165580         NA
29  0.1111111  9.2857143 1.404516        NaN 0.3960478 0.2165580         NA
30  0.1111111 10.0000000 1.404516        NaN 0.3960478 0.2165580         NA
31  0.2222222  0.0000000 1.309150 0.13658285 0.3870204 0.2205843 0.03777807
32  0.2222222  0.7142857 1.363582 0.08560644 0.3725490 0.2208729 0.02822093
33  0.2222222  1.4285714 1.392924 0.08304055 0.3898895 0.2181323 0.02689559
34  0.2222222  2.1428571 1.404516        NaN 0.3960478 0.2165580         NA
35  0.2222222  2.8571429 1.404516        NaN 0.3960478 0.2165580         NA
36  0.2222222  3.5714286 1.404516        NaN 0.3960478 0.2165580         NA
37  0.2222222  4.2857143 1.404516        NaN 0.3960478 0.2165580         NA
38  0.2222222  5.0000000 1.404516        NaN 0.3960478 0.2165580         NA
39  0.2222222  5.7142857 1.404516        NaN 0.3960478 0.2165580         NA
40  0.2222222  6.4285714 1.404516        NaN 0.3960478 0.2165580         NA
41  0.2222222  7.1428571 1.404516        NaN 0.3960478 0.2165580         NA
42  0.2222222  7.8571429 1.404516        NaN 0.3960478 0.2165580         NA
43  0.2222222  8.5714286 1.404516        NaN 0.3960478 0.2165580         NA
44  0.2222222  9.2857143 1.404516        NaN 0.3960478 0.2165580         NA
45  0.2222222 10.0000000 1.404516        NaN 0.3960478 0.2165580         NA
46  0.3333333  0.0000000 1.309149 0.13658315 0.3870281 0.2205827 0.03777852
47  0.3333333  0.7142857 1.375657 0.08352306 0.3798836 0.2198951 0.02701991
48  0.3333333  1.4285714 1.404516        NaN 0.3960478 0.2165580         NA
49  0.3333333  2.1428571 1.404516        NaN 0.3960478 0.2165580         NA
50  0.3333333  2.8571429 1.404516        NaN 0.3960478 0.2165580         NA
51  0.3333333  3.5714286 1.404516        NaN 0.3960478 0.2165580         NA
52  0.3333333  4.2857143 1.404516        NaN 0.3960478 0.2165580         NA
53  0.3333333  5.0000000 1.404516        NaN 0.3960478 0.2165580         NA
54  0.3333333  5.7142857 1.404516        NaN 0.3960478 0.2165580         NA
55  0.3333333  6.4285714 1.404516        NaN 0.3960478 0.2165580         NA
56  0.3333333  7.1428571 1.404516        NaN 0.3960478 0.2165580         NA
57  0.3333333  7.8571429 1.404516        NaN 0.3960478 0.2165580         NA
58  0.3333333  8.5714286 1.404516        NaN 0.3960478 0.2165580         NA
59  0.3333333  9.2857143 1.404516        NaN 0.3960478 0.2165580         NA
60  0.3333333 10.0000000 1.404516        NaN 0.3960478 0.2165580         NA
61  0.4444444  0.0000000 1.309151 0.13658259 0.3870526 0.2205795 0.03777813
62  0.4444444  0.7142857 1.388752 0.08304055 0.3875582 0.2186200 0.02689559
63  0.4444444  1.4285714 1.404516        NaN 0.3960478 0.2165580         NA
64  0.4444444  2.1428571 1.404516        NaN 0.3960478 0.2165580         NA
65  0.4444444  2.8571429 1.404516        NaN 0.3960478 0.2165580         NA
66  0.4444444  3.5714286 1.404516        NaN 0.3960478 0.2165580         NA
67  0.4444444  4.2857143 1.404516        NaN 0.3960478 0.2165580         NA
68  0.4444444  5.0000000 1.404516        NaN 0.3960478 0.2165580         NA
69  0.4444444  5.7142857 1.404516        NaN 0.3960478 0.2165580         NA
70  0.4444444  6.4285714 1.404516        NaN 0.3960478 0.2165580         NA
71  0.4444444  7.1428571 1.404516        NaN 0.3960478 0.2165580         NA
72  0.4444444  7.8571429 1.404516        NaN 0.3960478 0.2165580         NA
73  0.4444444  8.5714286 1.404516        NaN 0.3960478 0.2165580         NA
74  0.4444444  9.2857143 1.404516        NaN 0.3960478 0.2165580         NA
75  0.4444444 10.0000000 1.404516        NaN 0.3960478 0.2165580         NA
76  0.5555556  0.0000000 1.309151 0.13658246 0.3870655 0.2205777 0.03777799
77  0.5555556  0.7142857 1.404276 0.06804989 0.3959124 0.2167049 0.01688529
78  0.5555556  1.4285714 1.404516        NaN 0.3960478 0.2165580         NA
79  0.5555556  2.1428571 1.404516        NaN 0.3960478 0.2165580         NA
80  0.5555556  2.8571429 1.404516        NaN 0.3960478 0.2165580         NA
81  0.5555556  3.5714286 1.404516        NaN 0.3960478 0.2165580         NA
82  0.5555556  4.2857143 1.404516        NaN 0.3960478 0.2165580         NA
83  0.5555556  5.0000000 1.404516        NaN 0.3960478 0.2165580         NA
84  0.5555556  5.7142857 1.404516        NaN 0.3960478 0.2165580         NA
85  0.5555556  6.4285714 1.404516        NaN 0.3960478 0.2165580         NA
86  0.5555556  7.1428571 1.404516        NaN 0.3960478 0.2165580         NA
87  0.5555556  7.8571429 1.404516        NaN 0.3960478 0.2165580         NA
88  0.5555556  8.5714286 1.404516        NaN 0.3960478 0.2165580         NA
89  0.5555556  9.2857143 1.404516        NaN 0.3960478 0.2165580         NA
90  0.5555556 10.0000000 1.404516        NaN 0.3960478 0.2165580         NA
91  0.6666667  0.0000000 1.309151 0.13658247 0.3870691 0.2205769 0.03777806
92  0.6666667  0.7142857 1.404516        NaN 0.3960478 0.2165580         NA
93  0.6666667  1.4285714 1.404516        NaN 0.3960478 0.2165580         NA
94  0.6666667  2.1428571 1.404516        NaN 0.3960478 0.2165580         NA
95  0.6666667  2.8571429 1.404516        NaN 0.3960478 0.2165580         NA
96  0.6666667  3.5714286 1.404516        NaN 0.3960478 0.2165580         NA
97  0.6666667  4.2857143 1.404516        NaN 0.3960478 0.2165580         NA
98  0.6666667  5.0000000 1.404516        NaN 0.3960478 0.2165580         NA
99  0.6666667  5.7142857 1.404516        NaN 0.3960478 0.2165580         NA
100 0.6666667  6.4285714 1.404516        NaN 0.3960478 0.2165580         NA
101 0.6666667  7.1428571 1.404516        NaN 0.3960478 0.2165580         NA
102 0.6666667  7.8571429 1.404516        NaN 0.3960478 0.2165580         NA
103 0.6666667  8.5714286 1.404516        NaN 0.3960478 0.2165580         NA
104 0.6666667  9.2857143 1.404516        NaN 0.3960478 0.2165580         NA
105 0.6666667 10.0000000 1.404516        NaN 0.3960478 0.2165580         NA
106 0.7777778  0.0000000 1.309152 0.13658242 0.3870713 0.2205761 0.03777792
107 0.7777778  0.7142857 1.404516        NaN 0.3960478 0.2165580         NA
108 0.7777778  1.4285714 1.404516        NaN 0.3960478 0.2165580         NA
109 0.7777778  2.1428571 1.404516        NaN 0.3960478 0.2165580         NA
110 0.7777778  2.8571429 1.404516        NaN 0.3960478 0.2165580         NA
111 0.7777778  3.5714286 1.404516        NaN 0.3960478 0.2165580         NA
112 0.7777778  4.2857143 1.404516        NaN 0.3960478 0.2165580         NA
113 0.7777778  5.0000000 1.404516        NaN 0.3960478 0.2165580         NA
114 0.7777778  5.7142857 1.404516        NaN 0.3960478 0.2165580         NA
115 0.7777778  6.4285714 1.404516        NaN 0.3960478 0.2165580         NA
116 0.7777778  7.1428571 1.404516        NaN 0.3960478 0.2165580         NA
117 0.7777778  7.8571429 1.404516        NaN 0.3960478 0.2165580         NA
118 0.7777778  8.5714286 1.404516        NaN 0.3960478 0.2165580         NA
119 0.7777778  9.2857143 1.404516        NaN 0.3960478 0.2165580         NA
120 0.7777778 10.0000000 1.404516        NaN 0.3960478 0.2165580         NA
121 0.8888889  0.0000000 1.309152 0.13658259 0.3870739 0.2205759 0.03777844
122 0.8888889  0.7142857 1.404516        NaN 0.3960478 0.2165580         NA
123 0.8888889  1.4285714 1.404516        NaN 0.3960478 0.2165580         NA
124 0.8888889  2.1428571 1.404516        NaN 0.3960478 0.2165580         NA
125 0.8888889  2.8571429 1.404516        NaN 0.3960478 0.2165580         NA
126 0.8888889  3.5714286 1.404516        NaN 0.3960478 0.2165580         NA
127 0.8888889  4.2857143 1.404516        NaN 0.3960478 0.2165580         NA
128 0.8888889  5.0000000 1.404516        NaN 0.3960478 0.2165580         NA
129 0.8888889  5.7142857 1.404516        NaN 0.3960478 0.2165580         NA
130 0.8888889  6.4285714 1.404516        NaN 0.3960478 0.2165580         NA
131 0.8888889  7.1428571 1.404516        NaN 0.3960478 0.2165580         NA
132 0.8888889  7.8571429 1.404516        NaN 0.3960478 0.2165580         NA
133 0.8888889  8.5714286 1.404516        NaN 0.3960478 0.2165580         NA
134 0.8888889  9.2857143 1.404516        NaN 0.3960478 0.2165580         NA
135 0.8888889 10.0000000 1.404516        NaN 0.3960478 0.2165580         NA
136 1.0000000  0.0000000 1.309152 0.13658249 0.3870749 0.2205760 0.03777873
137 1.0000000  0.7142857 1.404516        NaN 0.3960478 0.2165580         NA
138 1.0000000  1.4285714 1.404516        NaN 0.3960478 0.2165580         NA
139 1.0000000  2.1428571 1.404516        NaN 0.3960478 0.2165580         NA
140 1.0000000  2.8571429 1.404516        NaN 0.3960478 0.2165580         NA
141 1.0000000  3.5714286 1.404516        NaN 0.3960478 0.2165580         NA
142 1.0000000  4.2857143 1.404516        NaN 0.3960478 0.2165580         NA
143 1.0000000  5.0000000 1.404516        NaN 0.3960478 0.2165580         NA
144 1.0000000  5.7142857 1.404516        NaN 0.3960478 0.2165580         NA
145 1.0000000  6.4285714 1.404516        NaN 0.3960478 0.2165580         NA
146 1.0000000  7.1428571 1.404516        NaN 0.3960478 0.2165580         NA
147 1.0000000  7.8571429 1.404516        NaN 0.3960478 0.2165580         NA
148 1.0000000  8.5714286 1.404516        NaN 0.3960478 0.2165580         NA
149 1.0000000  9.2857143 1.404516        NaN 0.3960478 0.2165580         NA
150 1.0000000 10.0000000 1.404516        NaN 0.3960478 0.2165580         NA
          MAESD
1   0.009432725
2   0.009779401
3   0.010266736
4   0.010566526
5   0.010665879
6   0.010683805
7   0.010673065
8   0.010651443
9   0.010630910
10  0.010612303
11  0.010592121
12  0.010575702
13  0.010562897
14  0.010550320
15  0.010535719
16  0.009425218
17  0.010778561
18  0.010540571
19  0.010541824
20  0.010453291
21  0.010318887
22  0.010284243
23  0.010284243
24  0.010284243
25  0.010284243
26  0.010284243
27  0.010284243
28  0.010284243
29  0.010284243
30  0.010284243
31  0.009423614
32  0.010531243
33  0.010514846
34  0.010284243
35  0.010284243
36  0.010284243
37  0.010284243
38  0.010284243
39  0.010284243
40  0.010284243
41  0.010284243
42  0.010284243
43  0.010284243
44  0.010284243
45  0.010284243
46  0.009425495
47  0.010581361
48  0.010284243
49  0.010284243
50  0.010284243
51  0.010284243
52  0.010284243
53  0.010284243
54  0.010284243
55  0.010284243
56  0.010284243
57  0.010284243
58  0.010284243
59  0.010284243
60  0.010284243
61  0.009425424
62  0.010574998
63  0.010284243
64  0.010284243
65  0.010284243
66  0.010284243
67  0.010284243
68  0.010284243
69  0.010284243
70  0.010284243
71  0.010284243
72  0.010284243
73  0.010284243
74  0.010284243
75  0.010284243
76  0.009426049
77  0.010373139
78  0.010284243
79  0.010284243
80  0.010284243
81  0.010284243
82  0.010284243
83  0.010284243
84  0.010284243
85  0.010284243
86  0.010284243
87  0.010284243
88  0.010284243
89  0.010284243
90  0.010284243
91  0.009427274
92  0.010284243
93  0.010284243
94  0.010284243
95  0.010284243
96  0.010284243
97  0.010284243
98  0.010284243
99  0.010284243
100 0.010284243
101 0.010284243
102 0.010284243
103 0.010284243
104 0.010284243
105 0.010284243
106 0.009425797
107 0.010284243
108 0.010284243
109 0.010284243
110 0.010284243
111 0.010284243
112 0.010284243
113 0.010284243
114 0.010284243
115 0.010284243
116 0.010284243
117 0.010284243
118 0.010284243
119 0.010284243
120 0.010284243
121 0.009427006
122 0.010284243
123 0.010284243
124 0.010284243
125 0.010284243
126 0.010284243
127 0.010284243
128 0.010284243
129 0.010284243
130 0.010284243
131 0.010284243
132 0.010284243
133 0.010284243
134 0.010284243
135 0.010284243
136 0.009425125
137 0.010284243
138 0.010284243
139 0.010284243
140 0.010284243
141 0.010284243
142 0.010284243
143 0.010284243
144 0.010284243
145 0.010284243
146 0.010284243
147 0.010284243
148 0.010284243
149 0.010284243
150 0.010284243
