[1] "Prediction Error: 1.82951"
BestTune:
  alpha lambda    RMSE  Rsquared       MAE    RMSESD RsquaredSD      MAESD
1     0      0 1.76357 0.2080982 0.5162596 0.3456831 0.06564072 0.01239702
ResultsTune:
        alpha     lambda     RMSE  Rsquared       MAE    RMSESD RsquaredSD
1   0.0000000  0.0000000 1.763570 0.2080982 0.5162596 0.3456831 0.06564072
2   0.0000000  0.7142857 1.776006 0.2022998 0.4849391 0.3538056 0.06324784
3   0.0000000  1.4285714 1.792397 0.1965440 0.4748738 0.3573624 0.06144142
4   0.0000000  2.1428571 1.806717 0.1921887 0.4757128 0.3590993 0.06023199
5   0.0000000  2.8571429 1.818984 0.1888086 0.4808056 0.3600302 0.05934323
6   0.0000000  3.5714286 1.829542 0.1861143 0.4864661 0.3605490 0.05864954
7   0.0000000  4.2857143 1.838723 0.1839093 0.4916468 0.3608186 0.05809860
8   0.0000000  5.0000000 1.846784 0.1820677 0.4962244 0.3609338 0.05764953
9   0.0000000  5.7142857 1.853884 0.1805199 0.5002396 0.3609811 0.05726069
10  0.0000000  6.4285714 1.860223 0.1791849 0.5038176 0.3609566 0.05693719
11  0.0000000  7.1428571 1.865899 0.1780277 0.5070171 0.3608923 0.05665730
12  0.0000000  7.8571429 1.871007 0.1770167 0.5098865 0.3608083 0.05641066
13  0.0000000  8.5714286 1.875632 0.1761247 0.5124745 0.3607138 0.05619104
14  0.0000000  9.2857143 1.879834 0.1753337 0.5148128 0.3606132 0.05599464
15  0.0000000 10.0000000 1.883673 0.1746246 0.5169413 0.3605033 0.05581860
16  0.1111111  0.0000000 1.763983 0.2081536 0.5220756 0.3439710 0.06580400
17  0.1111111  0.7142857 1.806408 0.1810829 0.4801624 0.3564500 0.05884867
18  0.1111111  1.4285714 1.845393 0.1599522 0.5058694 0.3581590 0.05344499
19  0.1111111  2.1428571 1.871772 0.1547760 0.5183701 0.3596938 0.05049764
20  0.1111111  2.8571429 1.895057 0.1519425 0.5289830 0.3595461 0.04992763
21  0.1111111  3.5714286 1.914566 0.1523002 0.5376976 0.3591998 0.05037010
22  0.1111111  4.2857143 1.931985 0.1527319 0.5453165 0.3588042 0.05040213
23  0.1111111  5.0000000 1.946935 0.1509774 0.5518155 0.3580564 0.04982194
24  0.1111111  5.7142857 1.957419 0.1502077 0.5564149 0.3572183 0.05004242
25  0.1111111  6.4285714 1.966029 0.1472213 0.5601140 0.3566315 0.04874985
26  0.1111111  7.1428571 1.969302       NaN 0.5615620 0.3554985         NA
27  0.1111111  7.8571429 1.969302       NaN 0.5615620 0.3554985         NA
28  0.1111111  8.5714286 1.969302       NaN 0.5615620 0.3554985         NA
29  0.1111111  9.2857143 1.969302       NaN 0.5615620 0.3554985         NA
30  0.1111111 10.0000000 1.969302       NaN 0.5615620 0.3554985         NA
31  0.2222222  0.0000000 1.764003 0.2081488 0.5220578 0.3439459 0.06580655
32  0.2222222  0.7142857 1.832905 0.1595087 0.4984536 0.3573593 0.05271264
33  0.2222222  1.4285714 1.875486 0.1526349 0.5196489 0.3598250 0.05041768
34  0.2222222  2.1428571 1.916469 0.1515903 0.5381535 0.3598647 0.05009386
35  0.2222222  2.8571429 1.949699 0.1502077 0.5529765 0.3582324 0.05004242
36  0.2222222  3.5714286 1.969302       NaN 0.5615620 0.3554985         NA
37  0.2222222  4.2857143 1.969302       NaN 0.5615620 0.3554985         NA
38  0.2222222  5.0000000 1.969302       NaN 0.5615620 0.3554985         NA
39  0.2222222  5.7142857 1.969302       NaN 0.5615620 0.3554985         NA
40  0.2222222  6.4285714 1.969302       NaN 0.5615620 0.3554985         NA
41  0.2222222  7.1428571 1.969302       NaN 0.5615620 0.3554985         NA
42  0.2222222  7.8571429 1.969302       NaN 0.5615620 0.3554985         NA
43  0.2222222  8.5714286 1.969302       NaN 0.5615620 0.3554985         NA
44  0.2222222  9.2857143 1.969302       NaN 0.5615620 0.3554985         NA
45  0.2222222 10.0000000 1.969302       NaN 0.5615620 0.3554985         NA
46  0.3333333  0.0000000 1.764014 0.2081463 0.5220763 0.3439318 0.06580768
47  0.3333333  0.7142857 1.847483 0.1539750 0.5054911 0.3589935 0.05028085
48  0.3333333  1.4285714 1.906978 0.1502503 0.5337348 0.3601967 0.05000693
49  0.3333333  2.1428571 1.962110 0.1472213 0.5583482 0.3579595 0.04874985
50  0.3333333  2.8571429 1.969302       NaN 0.5615620 0.3554985         NA
51  0.3333333  3.5714286 1.969302       NaN 0.5615620 0.3554985         NA
52  0.3333333  4.2857143 1.969302       NaN 0.5615620 0.3554985         NA
53  0.3333333  5.0000000 1.969302       NaN 0.5615620 0.3554985         NA
54  0.3333333  5.7142857 1.969302       NaN 0.5615620 0.3554985         NA
55  0.3333333  6.4285714 1.969302       NaN 0.5615620 0.3554985         NA
56  0.3333333  7.1428571 1.969302       NaN 0.5615620 0.3554985         NA
57  0.3333333  7.8571429 1.969302       NaN 0.5615620 0.3554985         NA
58  0.3333333  8.5714286 1.969302       NaN 0.5615620 0.3554985         NA
59  0.3333333  9.2857143 1.969302       NaN 0.5615620 0.3554985         NA
60  0.3333333 10.0000000 1.969302       NaN 0.5615620 0.3554985         NA
61  0.4444444  0.0000000 1.764015 0.2081454 0.5220497 0.3439277 0.06580716
62  0.4444444  0.7142857 1.860960 0.1520262 0.5121148 0.3598967 0.05031800
63  0.4444444  1.4285714 1.940284 0.1502077 0.5487247 0.3593496 0.05004242
64  0.4444444  2.1428571 1.969302       NaN 0.5615620 0.3554985         NA
65  0.4444444  2.8571429 1.969302       NaN 0.5615620 0.3554985         NA
66  0.4444444  3.5714286 1.969302       NaN 0.5615620 0.3554985         NA
67  0.4444444  4.2857143 1.969302       NaN 0.5615620 0.3554985         NA
68  0.4444444  5.0000000 1.969302       NaN 0.5615620 0.3554985         NA
69  0.4444444  5.7142857 1.969302       NaN 0.5615620 0.3554985         NA
70  0.4444444  6.4285714 1.969302       NaN 0.5615620 0.3554985         NA
71  0.4444444  7.1428571 1.969302       NaN 0.5615620 0.3554985         NA
72  0.4444444  7.8571429 1.969302       NaN 0.5615620 0.3554985         NA
73  0.4444444  8.5714286 1.969302       NaN 0.5615620 0.3554985         NA
74  0.4444444  9.2857143 1.969302       NaN 0.5615620 0.3554985         NA
75  0.4444444 10.0000000 1.969302       NaN 0.5615620 0.3554985         NA
76  0.5555556  0.0000000 1.764020 0.2081440 0.5220703 0.3439217 0.06580748
77  0.5555556  0.7142857 1.875478 0.1502075 0.5190109 0.3604619 0.05003370
78  0.5555556  1.4285714 1.969302       NaN 0.5615620 0.3554985         NA
79  0.5555556  2.1428571 1.969302       NaN 0.5615620 0.3554985         NA
80  0.5555556  2.8571429 1.969302       NaN 0.5615620 0.3554985         NA
81  0.5555556  3.5714286 1.969302       NaN 0.5615620 0.3554985         NA
82  0.5555556  4.2857143 1.969302       NaN 0.5615620 0.3554985         NA
83  0.5555556  5.0000000 1.969302       NaN 0.5615620 0.3554985         NA
84  0.5555556  5.7142857 1.969302       NaN 0.5615620 0.3554985         NA
85  0.5555556  6.4285714 1.969302       NaN 0.5615620 0.3554985         NA
86  0.5555556  7.1428571 1.969302       NaN 0.5615620 0.3554985         NA
87  0.5555556  7.8571429 1.969302       NaN 0.5615620 0.3554985         NA
88  0.5555556  8.5714286 1.969302       NaN 0.5615620 0.3554985         NA
89  0.5555556  9.2857143 1.969302       NaN 0.5615620 0.3554985         NA
