[1] "Prediction Error: 2.00702"
BestTune:
  alpha lambda      RMSE   Rsquared        MAE     RMSESD  RsquaredSD
1     0      0 0.2235579 0.03190798 0.05531715 0.04362439 0.008227906
       MAESD
1 0.00210206
ResultsTune:
        alpha     lambda      RMSE   Rsquared        MAE     RMSESD  RsquaredSD
1   0.0000000  0.0000000 0.2235579 0.03190798 0.05531715 0.04362439 0.008227906
2   0.0000000  0.7142857 0.2255430 0.02750161 0.04659222 0.04399775 0.006541181
3   0.0000000  1.4285714 0.2260948 0.02607187 0.04678118 0.04397340 0.006168473
4   0.0000000  2.1428571 0.2263390 0.02537595 0.04686587 0.04395841 0.005990695
5   0.0000000  2.8571429 0.2264773 0.02496330 0.04691221 0.04394876 0.005886541
6   0.0000000  3.5714286 0.2265666 0.02468969 0.04694144 0.04394202 0.005818498
7   0.0000000  4.2857143 0.2266288 0.02449714 0.04696149 0.04393723 0.005770254
8   0.0000000  5.0000000 0.2266744 0.02435423 0.04697607 0.04393366 0.005734228
9   0.0000000  5.7142857 0.2267098 0.02424169 0.04698727 0.04393071 0.005706634
10  0.0000000  6.4285714 0.2267376 0.02415346 0.04699602 0.04392841 0.005684619
11  0.0000000  7.1428571 0.2267602 0.02408111 0.04700311 0.04392657 0.005666482
12  0.0000000  7.8571429 0.2267790 0.02402073 0.04700897 0.04392500 0.005651472
13  0.0000000  8.5714286 0.2267948 0.02396967 0.04701389 0.04392365 0.005638862
14  0.0000000  9.2857143 0.2268084 0.02392574 0.04701808 0.04392247 0.005628105
15  0.0000000 10.0000000 0.2268201 0.02388763 0.04702170 0.04392149 0.005618651
16  0.1111111  0.0000000 0.2235660 0.03187002 0.05548659 0.04361720 0.008223602
17  0.1111111  0.7142857 0.2269791        NaN 0.04707005 0.04390741          NA
18  0.1111111  1.4285714 0.2269791        NaN 0.04707005 0.04390741          NA
19  0.1111111  2.1428571 0.2269791        NaN 0.04707005 0.04390741          NA
20  0.1111111  2.8571429 0.2269791        NaN 0.04707005 0.04390741          NA
21  0.1111111  3.5714286 0.2269791        NaN 0.04707005 0.04390741          NA
22  0.1111111  4.2857143 0.2269791        NaN 0.04707005 0.04390741          NA
23  0.1111111  5.0000000 0.2269791        NaN 0.04707005 0.04390741          NA
24  0.1111111  5.7142857 0.2269791        NaN 0.04707005 0.04390741          NA
