[1] "Prediction Error: 1.73450"
BestTune:
      alpha lambda     RMSE   Rsquared       MAE    RMSESD RsquaredSD
1 0.1111111      0 1.344876 0.08869607 0.3518599 0.2060915 0.02415901
       MAESD
1 0.01027015
ResultsTune:
        alpha     lambda     RMSE   Rsquared       MAE    RMSESD RsquaredSD
1   0.0000000  0.0000000 1.344886 0.08869257 0.3521954 0.2062764 0.02415405
2   0.0000000  0.7142857 1.351710 0.08837630 0.3598146 0.2080358 0.02406909
3   0.0000000  1.4285714 1.360307 0.08801953 0.3669174 0.2082869 0.02394681
4   0.0000000  2.1428571 1.367077 0.08771645 0.3718291 0.2081790 0.02384140
5   0.0000000  2.8571429 1.372248 0.08746483 0.3753749 0.2079949 0.02375394
6   0.0000000  3.5714286 1.376253 0.08725618 0.3780392 0.2078117 0.02368126
7   0.0000000  4.2857143 1.379443 0.08707973 0.3801333 0.2076415 0.02362039
8   0.0000000  5.0000000 1.382041 0.08692863 0.3818082 0.2074895 0.02356869
9   0.0000000  5.7142857 1.384165 0.08680123 0.3831522 0.2073609 0.02352447
10  0.0000000  6.4285714 1.385963 0.08668900 0.3842711 0.2072477 0.02348586
11  0.0000000  7.1428571 1.387491 0.08659113 0.3852089 0.2071443 0.02345272
12  0.0000000  7.8571429 1.388802 0.08650523 0.3860071 0.2070538 0.02342350
13  0.0000000  8.5714286 1.389941 0.08642923 0.3866948 0.2069749 0.02339745
14  0.0000000  9.2857143 1.390937 0.08636173 0.3872943 0.2069039 0.02337427
15  0.0000000 10.0000000 1.391818 0.08630115 0.3878240 0.2068378 0.02335392
16  0.1111111  0.0000000 1.344876 0.08869607 0.3518599 0.2060915 0.02415901
17  0.1111111  0.7142857 1.360411 0.08326587 0.3680338 0.2079251 0.02348398
18  0.1111111  1.4285714 1.376330 0.08148254 0.3791358 0.2076761 0.02314436
19  0.1111111  2.1428571 1.388817 0.08148254 0.3866259 0.2071168 0.02314436
20  0.1111111  2.8571429 1.398630 0.08148254 0.3920906 0.2065255 0.02314436
21  0.1111111  3.5714286 1.406027 0.07054866 0.3959862 0.2057748 0.01940737
22  0.1111111  4.2857143 1.406133        NaN 0.3960463 0.2056872         NA
23  0.1111111  5.0000000 1.406133        NaN 0.3960463 0.2056872         NA
24  0.1111111  5.7142857 1.406133        NaN 0.3960463 0.2056872         NA
25  0.1111111  6.4285714 1.406133        NaN 0.3960463 0.2056872         NA
26  0.1111111  7.1428571 1.406133        NaN 0.3960463 0.2056872         NA
27  0.1111111  7.8571429 1.406133        NaN 0.3960463 0.2056872         NA
28  0.1111111  8.5714286 1.406133        NaN 0.3960463 0.2056872         NA
29  0.1111111  9.2857143 1.406133        NaN 0.3960463 0.2056872         NA
30  0.1111111 10.0000000 1.406133        NaN 0.3960463 0.2056872         NA
