[1] "Prediction Error: 1.73281"
BestTune:
  alpha lambda     RMSE  Rsquared       MAE   RMSESD RsquaredSD      MAESD
1     0      0 1.820552 0.1558604 0.4765435 0.333298   0.050503 0.01404212
ResultsTune:
        alpha     lambda     RMSE  Rsquared       MAE    RMSESD RsquaredSD
1   0.0000000  0.0000000 1.820552 0.1558604 0.4765435 0.3332980 0.05050300
2   0.0000000  0.7142857 1.830098 0.1556843 0.4874077 0.3381918 0.05041710
3   0.0000000  1.4285714 1.845711 0.1554194 0.4981534 0.3401888 0.05028902
4   0.0000000  2.1428571 1.859961 0.1551649 0.5063444 0.3408489 0.05017243
5   0.0000000  2.8571429 1.871926 0.1549358 0.5127149 0.3409917 0.05007105
6   0.0000000  3.5714286 1.881834 0.1547335 0.5178333 0.3409326 0.04998311
7   0.0000000  4.2857143 1.890099 0.1545549 0.5219794 0.3407745 0.04990752
8   0.0000000  5.0000000 1.897066 0.1543967 0.5254179 0.3405728 0.04984233
9   0.0000000  5.7142857 1.902960 0.1542576 0.5282989 0.3403873 0.04978407
10  0.0000000  6.4285714 1.908045 0.1541329 0.5307802 0.3401926 0.04973366
11  0.0000000  7.1428571 1.912453 0.1540214 0.5329330 0.3400013 0.04968878
12  0.0000000  7.8571429 1.916301 0.1539216 0.5348070 0.3398264 0.04964862
13  0.0000000  8.5714286 1.919692 0.1538315 0.5364545 0.3396680 0.04961241
14  0.0000000  9.2857143 1.922695 0.1537502 0.5379093 0.3395225 0.04957961
15  0.0000000 10.0000000 1.925379 0.1536761 0.5392078 0.3393827 0.04954979
16  0.1111111  0.0000000 1.820553 0.1558655 0.4755535 0.3325013 0.05051465
17  0.1111111  0.7142857 1.838732 0.1532447 0.4959578 0.3386402 0.05042525
18  0.1111111  1.4285714 1.866114 0.1494056 0.5126609 0.3400829 0.04975739
19  0.1111111  2.1428571 1.889063 0.1494056 0.5239269 0.3403670 0.04975739
20  0.1111111  2.8571429 1.908707 0.1494056 0.5329810 0.3400639 0.04975739
21  0.1111111  3.5714286 1.925212 0.1494056 0.5405046 0.3395410 0.04975739
22  0.1111111  4.2857143 1.939075 0.1494056 0.5467702 0.3389931 0.04975739
23  0.1111111  5.0000000 1.950792 0.1494056 0.5519980 0.3384805 0.04975739
24  0.1111111  5.7142857 1.960828 0.1494056 0.5564200 0.3379504 0.04975739
25  0.1111111  6.4285714 1.969398 0.1448342 0.5601145 0.3374467 0.04726824
26  0.1111111  7.1428571 1.972633       NaN 0.5615647 0.3363438         NA
27  0.1111111  7.8571429 1.972633       NaN 0.5615647 0.3363438         NA
28  0.1111111  8.5714286 1.972633       NaN 0.5615647 0.3363438         NA
29  0.1111111  9.2857143 1.972633       NaN 0.5615647 0.3363438         NA
30  0.1111111 10.0000000 1.972633       NaN 0.5615647 0.3363438         NA
31  0.2222222  0.0000000 1.820553 0.1558647 0.4754559 0.3324907 0.05052008
32  0.2222222  0.7142857 1.848200 0.1494056 0.5026996 0.3389728 0.04975739
33  0.2222222  1.4285714 1.885252 0.1494056 0.5220685 0.3405066 0.04975739
34  0.2222222  2.1428571 1.921411 0.1494056 0.5387215 0.3400079 0.04975739
35  0.2222222  2.8571429 1.953154 0.1494056 0.5529813 0.3388981 0.04975739
36  0.2222222  3.5714286 1.972633       NaN 0.5615647 0.3363438         NA
37  0.2222222  4.2857143 1.972633       NaN 0.5615647 0.3363438         NA
38  0.2222222  5.0000000 1.972633       NaN 0.5615647 0.3363438         NA
39  0.2222222  5.7142857 1.972633       NaN 0.5615647 0.3363438         NA
40  0.2222222  6.4285714 1.972633       NaN 0.5615647 0.3363438         NA
41  0.2222222  7.1428571 1.972633       NaN 0.5615647 0.3363438         NA
42  0.2222222  7.8571429 1.972633       NaN 0.5615647 0.3363438         NA
43  0.2222222  8.5714286 1.972633       NaN 0.5615647 0.3363438         NA
44  0.2222222  9.2857143 1.972633       NaN 0.5615647 0.3363438         NA
45  0.2222222 10.0000000 1.972633       NaN 0.5615647 0.3363438         NA
46  0.3333333  0.0000000 1.820555 0.1558640 0.4754027 0.3324711 0.05052244
47  0.3333333  0.7142857 1.856416 0.1494056 0.5074310 0.3396678 0.04975739
48  0.3333333  1.4285714 1.910622 0.1494056 0.5337562 0.3404676 0.04975739
49  0.3333333  2.1428571 1.965520 0.1448342 0.5583454 0.3387393 0.04726824
50  0.3333333  2.8571429 1.972633       NaN 0.5615647 0.3363438         NA
51  0.3333333  3.5714286 1.972633       NaN 0.5615647 0.3363438         NA
52  0.3333333  4.2857143 1.972633       NaN 0.5615647 0.3363438         NA
53  0.3333333  5.0000000 1.972633       NaN 0.5615647 0.3363438         NA
54  0.3333333  5.7142857 1.972633       NaN 0.5615647 0.3363438         NA
55  0.3333333  6.4285714 1.972633       NaN 0.5615647 0.3363438         NA
56  0.3333333  7.1428571 1.972633       NaN 0.5615647 0.3363438         NA
57  0.3333333  7.8571429 1.972633       NaN 0.5615647 0.3363438         NA
58  0.3333333  8.5714286 1.972633       NaN 0.5615647 0.3363438         NA
59  0.3333333  9.2857143 1.972633       NaN 0.5615647 0.3363438         NA
60  0.3333333 10.0000000 1.972633       NaN 0.5615647 0.3363438         NA
61  0.4444444  0.0000000 1.820558 0.1558635 0.4753691 0.3324628 0.05052386
62  0.4444444  0.7142857 1.866615 0.1494056 0.5128059 0.3402293 0.04975739
63  0.4444444  1.4285714 1.943789 0.1494056 0.5487330 0.3399429 0.04975739
64  0.4444444  2.1428571 1.972633       NaN 0.5615647 0.3363438         NA
65  0.4444444  2.8571429 1.972633       NaN 0.5615647 0.3363438         NA
66  0.4444444  3.5714286 1.972633       NaN 0.5615647 0.3363438         NA
67  0.4444444  4.2857143 1.972633       NaN 0.5615647 0.3363438         NA
68  0.4444444  5.0000000 1.972633       NaN 0.5615647 0.3363438         NA
69  0.4444444  5.7142857 1.972633       NaN 0.5615647 0.3363438         NA
70  0.4444444  6.4285714 1.972633       NaN 0.5615647 0.3363438         NA
71  0.4444444  7.1428571 1.972633       NaN 0.5615647 0.3363438         NA
72  0.4444444  7.8571429 1.972633       NaN 0.5615647 0.3363438         NA
73  0.4444444  8.5714286 1.972633       NaN 0.5615647 0.3363438         NA
74  0.4444444  9.2857143 1.972633       NaN 0.5615647 0.3363438         NA
75  0.4444444 10.0000000 1.972633       NaN 0.5615647 0.3363438         NA
76  0.5555556  0.0000000 1.820561 0.1558637 0.4753458 0.3324544 0.05052518
77  0.5555556  0.7142857 1.879126 0.1494056 0.5190095 0.3406359 0.04975739
78  0.5555556  1.4285714 1.972633       NaN 0.5615647 0.3363438         NA
79  0.5555556  2.1428571 1.972633       NaN 0.5615647 0.3363438         NA
80  0.5555556  2.8571429 1.972633       NaN 0.5615647 0.3363438         NA
81  0.5555556  3.5714286 1.972633       NaN 0.5615647 0.3363438         NA
82  0.5555556  4.2857143 1.972633       NaN 0.5615647 0.3363438         NA
83  0.5555556  5.0000000 1.972633       NaN 0.5615647 0.3363438         NA
84  0.5555556  5.7142857 1.972633       NaN 0.5615647 0.3363438         NA
85  0.5555556  6.4285714 1.972633       NaN 0.5615647 0.3363438         NA
86  0.5555556  7.1428571 1.972633       NaN 0.5615647 0.3363438         NA
87  0.5555556  7.8571429 1.972633       NaN 0.5615647 0.3363438         NA
88  0.5555556  8.5714286 1.972633       NaN 0.5615647 0.3363438         NA
89  0.5555556  9.2857143 1.972633       NaN 0.5615647 0.3363438         NA
90  0.5555556 10.0000000 1.972633       NaN 0.5615647 0.3363438         NA
91  0.6666667  0.0000000 1.820564 0.1558640 0.4753324 0.3324467 0.05052556
92  0.6666667  0.7142857 1.894328 0.1494056 0.5262109 0.3408815 0.04975739
93  0.6666667  1.4285714 1.972633       NaN 0.5615647 0.3363438         NA
94  0.6666667  2.1428571 1.972633       NaN 0.5615647 0.3363438         NA
95  0.6666667  2.8571429 1.972633       NaN 0.5615647 0.3363438         NA
96  0.6666667  3.5714286 1.972633       NaN 0.5615647 0.3363438         NA
97  0.6666667  4.2857143 1.972633       NaN 0.5615647 0.3363438         NA
98  0.6666667  5.0000000 1.972633       NaN 0.5615647 0.3363438         NA
99  0.6666667  5.7142857 1.972633       NaN 0.5615647 0.3363438         NA
100 0.6666667  6.4285714 1.972633       NaN 0.5615647 0.3363438         NA
101 0.6666667  7.1428571 1.972633       NaN 0.5615647 0.3363438         NA
102 0.6666667  7.8571429 1.972633       NaN 0.5615647 0.3363438         NA
103 0.6666667  8.5714286 1.972633       NaN 0.5615647 0.3363438         NA
