[1] "Prediction Error: 1.97176"
BestTune:
  alpha lambda     RMSE    Rsquared        MAE     RMSESD  RsquaredSD
1     0      0 0.226467 0.009343196 0.04735757 0.04163477 0.005602321
        MAESD
1 0.002224495
ResultsTune:
        alpha     lambda      RMSE    Rsquared        MAE     RMSESD
1   0.0000000  0.0000000 0.2264670 0.009343196 0.04735757 0.04163477
2   0.0000000  0.7142857 0.2271183 0.006818961 0.04698195 0.04167919
3   0.0000000  1.4285714 0.2272324 0.006277161 0.04702019 0.04167077
4   0.0000000  2.1428571 0.2272800 0.006059628 0.04703516 0.04166678
5   0.0000000  2.8571429 0.2273063 0.005942680 0.04704317 0.04166446
6   0.0000000  3.5714286 0.2273230 0.005869508 0.04704818 0.04166295
7   0.0000000  4.2857143 0.2273345 0.005819596 0.04705160 0.04166188
8   0.0000000  5.0000000 0.2273430 0.005783423 0.04705408 0.04166108
9   0.0000000  5.7142857 0.2273494 0.005755805 0.04705597 0.04166047
10  0.0000000  6.4285714 0.2273545 0.005734217 0.04705745 0.04165998
11  0.0000000  7.1428571 0.2273587 0.005716784 0.04705865 0.04165958
12  0.0000000  7.8571429 0.2273621 0.005702441 0.04705964 0.04165925
13  0.0000000  8.5714286 0.2273650 0.005690417 0.04706046 0.04165897
14  0.0000000  9.2857143 0.2273681 0.005680687 0.04706136 0.04165910
15  0.0000000 10.0000000 0.2273763 0.005450170 0.04706344 0.04165952
16  0.1111111  0.0000000 0.2264673 0.009345487 0.04736450 0.04163392
17  0.1111111  0.7142857 0.2273980         NaN 0.04706984 0.04165567
18  0.1111111  1.4285714 0.2273980         NaN 0.04706984 0.04165567
19  0.1111111  2.1428571 0.2273980         NaN 0.04706984 0.04165567
20  0.1111111  2.8571429 0.2273980         NaN 0.04706984 0.04165567
21  0.1111111  3.5714286 0.2273980         NaN 0.04706984 0.04165567
22  0.1111111  4.2857143 0.2273980         NaN 0.04706984 0.04165567
23  0.1111111  5.0000000 0.2273980         NaN 0.04706984 0.04165567
24  0.1111111  5.7142857 0.2273980         NaN 0.04706984 0.04165567
25  0.1111111  6.4285714 0.2273980         NaN 0.04706984 0.04165567
26  0.1111111  7.1428571 0.2273980         NaN 0.04706984 0.04165567
27  0.1111111  7.8571429 0.2273980         NaN 0.04706984 0.04165567
28  0.1111111  8.5714286 0.2273980         NaN 0.04706984 0.04165567
29  0.1111111  9.2857143 0.2273980         NaN 0.04706984 0.04165567
30  0.1111111 10.0000000 0.2273980         NaN 0.04706984 0.04165567
31  0.2222222  0.0000000 0.2264673 0.009345880 0.04736426 0.04163390
32  0.2222222  0.7142857 0.2273980         NaN 0.04706984 0.04165567
33  0.2222222  1.4285714 0.2273980         NaN 0.04706984 0.04165567
34  0.2222222  2.1428571 0.2273980         NaN 0.04706984 0.04165567
35  0.2222222  2.8571429 0.2273980         NaN 0.04706984 0.04165567
36  0.2222222  3.5714286 0.2273980         NaN 0.04706984 0.04165567
37  0.2222222  4.2857143 0.2273980         NaN 0.04706984 0.04165567
38  0.2222222  5.0000000 0.2273980         NaN 0.04706984 0.04165567
39  0.2222222  5.7142857 0.2273980         NaN 0.04706984 0.04165567
40  0.2222222  6.4285714 0.2273980         NaN 0.04706984 0.04165567
41  0.2222222  7.1428571 0.2273980         NaN 0.04706984 0.04165567
42  0.2222222  7.8571429 0.2273980         NaN 0.04706984 0.04165567
43  0.2222222  8.5714286 0.2273980         NaN 0.04706984 0.04165567
