pid|size|group4|group5
14393|2 ( 37-39 )|1|5
10069|36|1|2
10069|35|1|2
16221|L|3|2
11317|L|1|2
14438|M|3|3
16818|L|1|5
16766|1 ( Junior)|4|1
11395|L|4|5
11395|M|1|5
14178|S|4|5
19145|XL (46-50 )|1|5
10447|XL|1|5
22362|L|3|2
12985|XS|1|5
10416|44|1|5
17173|L|1|5
12985|XL|1|5
12985|L|1|2
22842|XL|1|2
10396|XL|3|3
21980|S|4|1
12918|S|4|5
19505|S|4|5
15064|S|1|5
18457|L|4|1
11669|M|4|1
21477|L|1|5
15482|164|1|5
15482|152|1|5
18105|M|1|5
15408|S|1|5
20614|43|1|5
13821|L|1|5
11250|L|1|5
21270|XL|1|2
16799|XL ( 158-170 )|1|5
11781|39|4|1
21372|M|1|2
22144|XL (46-50 )|1|5
22842|2XL|3|3
21539|2XL|3|2
12032|2XL|4|1
14501|S|1|5
20392|M|1|5
20053|M|1|5
14705|L|1|5
10616|L|1|5
19354|M|4|1
11651|43 1/3|4|1
10312|43 1/3|4|5
10312|42 2/3|4|5
10063|XL|1|5
12988|4 ( 43-45 )|1|5
22458|M|4|5
22458|2XL|1|5
22458|L|4|5
22458|XL|4|1
15578|S ( 34-38 )|4|1
22625|XL ( 158-170 )|1|5
21682|XL ( 158-170 )|1|5
19288|S|1|2
21753|41,5|4|5
14210|40|4|1
15625|L ( 152-158 )|4|5
17463|176|4|5
13003|42,5|1|5
18143|L|3|2
15953|L ( 152-158 )|1|5
21326|L|1|5
20745|L|4|1
17771|XL|3|2
19288|M|1|5
14178|L|1|5
12720|L|1|2
22158|M|1|2
10467|M|3|2
18375|L|3|2
14718|S|4|1
10961|L|4|5
15401|XL|3|3
21227|L|1|5
16462|L|4|5
15122|4 ( 43-45 )|1|5
13821|M|4|5
12031|L|3|3
15249|2 ( 37-39 )|4|1
10169|2 ( 37-39 )|4|5
12295|176|4|5
17884|S|1|5
17932|S|1|2
10456|XL ( 158-170 )|1|5
13284|M|1|5
10416|47 1/3|1|5
13922|43/46|1|5
21859|152|1|5
16216|S ( 34-38 )|1|5
22362|M|1|2
11727|S ( 34/36 )|1|5
11727|XS ( 32/34 )|1|5
11727|M ( 38/40 )|1|5
15092|140|1|5
13008|L|3|2
21160|152|1|2
19235|S|4|5
13441|XL|1|5
20891|36|1|2
17985|L|1|5
22169|41 1/3|1|2
15669|L ( 152-158 )|1|5
19506|L ( 152-158 )|1|5
16976|XL|1|2
16976|L|1|5
20422|164|1|5
11582|164|4|1
13916|140|4|5
15953|M ( 140-152 )|1|5
16799|M ( 140-152 )|4|5
14054|47|4|1
14502|2|1|5
22779|152|4|1
12472|152|1|5
17050|L|1|2
19235|L|1|5
14885|2XL|3|2
14885|XL|1|5
14885|S|3|3
14885|L|4|5
14885|M|1|5
14264|L|4|5
12985|2XL|1|5
21160|116|1|5
13485|2 ( 37-39 )|4|5
14419|XL|4|1
22190|39 - 42|1|5
15379|S|4|1
21282|S|1|5
17711|M|4|1
16051|S|4|5
20973|5 ( 43-46 )|4|5
12919|L ( 152-158 )|1|5
15290|43|4|1
12143|M|2|3
10987|4 ( 43-45 )|4|1
10948|45|1|2
17717|XL ( 158-170 )|3|2
18019|XL ( 158-170 )|1|5
13607|41|4|5
13342|S|1|2
19145|S ( 34-38 )|1|5
20763|S ( 34-38 )|1|2
15148|L|1|5
22233|L|4|5
11935|XL|1|5
15379|XL|4|5
15590|40 2/3|4|1
20706|S ( 128-140 )|4|1
15652|L|4|5
15585|164|1|5
15585|140|4|1
12143|2XL|1|2
12143|L|2|3
15946|S|4|5
11860|M ( 38-42 )|1|2
22206|M|4|1
15292|M|1|2
18621|XL|4|5
16473|S|1|5
11669|2XL/T|4|5
10131|164|1|2
10575|44 2/3|4|5
11621|5 ( 43-46 )|2|3
19145|L ( 42-46 )|1|5
20860|L ( 42-46 )|4|5
19813|L ( 42-46 )|1|5
22144|L ( 42-46 )|1|5
20106|XS ( 116-128 )|1|5
14950|L|4|1
19505|L|1|5
11581|152|4|5
15064|L|1|2
18255|5 ( 43-46 )|1|5
14054|43|4|1
12674|42,5|4|1
20033|41 1/3|1|2
11810|S|3|2
18785|L|3|2
13185|S|4|5
19793|42 2/3|4|1
17884|L|4|1
22758|XS|3|3
16131|164|3|3
21042|164|4|1
16047|164|4|1
10331|L ( 152-158 )|1|5
15752|44,5|1|5
19882|140|1|5
12786|M|1|5
10063|M|3|3
22618|L ( 152-158 )|1|5
10421|43|4|5
15092|152|1|5
10137|38|4|1
22624|2 ( 37-39 )|1|5
18308|35 - 38|4|5
13775|140|4|1
15602|140|1|2
22842|M|1|5
14264|S|4|1
13733|S|1|5
12153|L|1|2
13532|L|1|5
15379|M|4|1
21477|M|1|5
12115|L|1|5
13371|164/176|4|5
16056|176|1|5
16056|164|3|2
20422|176|1|5
11614|S|1|5
11250|S|4|5
17372|S|4|1
10447|L|1|5
10447|M|1|5
10447|S|1|5
20359|L|3|2
20359|M|1|2
10333|XL (46-50 )|1|5
10333|L ( 42-46 )|1|5
10333|M ( 38-42 )|1|2
10878|2XL|3|2
15408|XL|1|2
15408|2XL|3|2
22338|M|4|1
21030|L ( 42-46 )|1|2
19853|XL|1|5
18105|XL|1|5
11614|XL|1|5
