pid|size|color|brand|rrp|mainCategory|category|subCategory|releaseDate|stock
19671|39 1/3|schwarz|adidas|190.43|1|2|3|2017-10-01|1
19671|40|schwarz|adidas|190.43|1|2|3|2017-10-01|2
19671|41 1/3|schwarz|adidas|190.43|1|2|3|2017-10-01|3
19671|42|schwarz|adidas|190.43|1|2|3|2017-10-01|2
19671|42 2/3|schwarz|adidas|190.43|1|2|3|2017-10-01|9
19671|43 1/3|schwarz|adidas|190.43|1|2|3|2017-10-01|3
19671|44|schwarz|adidas|190.43|1|2|3|2017-10-01|2
19671|44 2/3|schwarz|adidas|190.43|1|2|3|2017-10-01|7
19671|45 1/3|schwarz|adidas|190.43|1|2|3|2017-10-01|2
15252|42|schwarz|adidas|190.43|1|2|4|2017-10-01|1
15252|43 1/3|schwarz|adidas|190.43|1|2|4|2017-10-01|1
15252|45 1/3|schwarz|adidas|190.43|1|2|4|2017-10-01|2
15252|46|schwarz|adidas|190.43|1|2|4|2017-10-01|1
17140|41 1/3|schwarz|adidas|165.03|1|2|5|2017-10-01|4
17140|42|schwarz|adidas|165.03|1|2|5|2017-10-01|6
17140|42 2/3|schwarz|adidas|165.03|1|2|5|2017-10-01|11
17140|43 1/3|schwarz|adidas|165.03|1|2|5|2017-10-01|4
17140|44|schwarz|adidas|165.03|1|2|5|2017-10-01|7
17140|44 2/3|schwarz|adidas|165.03|1|2|5|2017-10-01|2
17140|45 1/3|schwarz|adidas|165.03|1|2|5|2017-10-01|1
17140|47 1/3|schwarz|adidas|165.03|1|2|5|2017-10-01|6
17140|48|schwarz|adidas|165.03|1|2|5|2017-10-01|2
17140|48 2/3|schwarz|adidas|165.03|1|2|5|2017-10-01|5
12703|39 1/3|schwarz|adidas|165.03|1|2|6|2017-10-01|2
12703|40|schwarz|adidas|165.03|1|2|6|2017-10-01|1
12703|40 2/3|schwarz|adidas|165.03|1|2|6|2017-10-01|1
12703|41 1/3|schwarz|adidas|165.03|1|2|6|2017-10-01|8
12703|42|schwarz|adidas|165.03|1|2|6|2017-10-01|9
12703|42 2/3|schwarz|adidas|165.03|1|2|6|2017-10-01|26
12703|43 1/3|schwarz|adidas|165.03|1|2|6|2017-10-01|23
12703|44|schwarz|adidas|165.03|1|2|6|2017-10-01|7
12703|44 2/3|schwarz|adidas|165.03|1|2|6|2017-10-01|10
12703|45 1/3|schwarz|adidas|165.03|1|2|6|2017-10-01|12
12703|46|schwarz|adidas|165.03|1|2|6|2017-10-01|7
12703|46 2/3|schwarz|adidas|165.03|1|2|6|2017-10-01|1
12703|47 1/3|schwarz|adidas|165.03|1|2|6|2017-10-01|6
12703|48|schwarz|adidas|165.03|1|2|6|2017-10-01|2
12703|48 2/3|schwarz|adidas|165.03|1|2|6|2017-10-01|1
11877|40|schwarz|adidas|126.93|1|2|3|2017-10-01|1
11877|41 1/3|schwarz|adidas|126.93|1|2|3|2017-10-01|1
11877|42|schwarz|adidas|126.93|1|2|3|2017-10-01|3
11877|42 2/3|schwarz|adidas|126.93|1|2|3|2017-10-01|1
11877|43 1/3|schwarz|adidas|126.93|1|2|3|2017-10-01|7
11877|44|schwarz|adidas|126.93|1|2|3|2017-10-01|1
11877|44 2/3|schwarz|adidas|126.93|1|2|3|2017-10-01|1
11877|45 1/3|schwarz|adidas|126.93|1|2|3|2017-10-01|4
11877|46|schwarz|adidas|126.93|1|2|3|2017-10-01|1
11877|46 2/3|schwarz|adidas|126.93|1|2|3|2017-10-01|1
11877|47 1/3|schwarz|adidas|126.93|1|2|3|2017-10-01|3
11877|48|schwarz|adidas|126.93|1|2|3|2017-10-01|3
11877|48 2/3|schwarz|adidas|126.93|1|2|3|2017-10-01|2
10575|42|schwarz|adidas|126.93|1|2|4|2017-10-01|1
10575|42 2/3|schwarz|adidas|126.93|1|2|4|2017-10-01|1
10575|44|schwarz|adidas|126.93|1|2|4|2017-10-01|1
10575|44 2/3|schwarz|adidas|126.93|1|2|4|2017-10-01|1
10575|46|schwarz|adidas|126.93|1|2|4|2017-10-01|3
10575|47 1/3|schwarz|adidas|126.93|1|2|4|2017-10-01|1
10575|48 2/3|schwarz|adidas|126.93|1|2|4|2017-10-01|1
21738|42|schwarz|adidas|126.93|1|2|6|2017-10-01|6
21738|42 2/3|schwarz|adidas|126.93|1|2|6|2017-10-01|3
21738|43 1/3|schwarz|adidas|126.93|1|2|6|2017-10-01|10
21738|44|schwarz|adidas|126.93|1|2|6|2017-10-01|2
21738|44 2/3|schwarz|adidas|126.93|1|2|6|2017-10-01|4
21738|45 1/3|schwarz|adidas|126.93|1|2|6|2017-10-01|5
21738|46|schwarz|adidas|126.93|1|2|6|2017-10-01|2
21738|47 1/3|schwarz|adidas|126.93|1|2|6|2017-10-01|1
21738|48 2/3|schwarz|adidas|126.93|1|2|6|2017-10-01|1
11725|41 1/3|schwarz|adidas|126.93|1|2|5|2017-10-01|4
11725|42|schwarz|adidas|126.93|1|2|5|2017-10-01|9
11725|42 2/3|schwarz|adidas|126.93|1|2|5|2017-10-01|11
11725|43 1/3|schwarz|adidas|126.93|1|2|5|2017-10-01|1
11725|44|schwarz|adidas|126.93|1|2|5|2017-10-01|2
11725|44 2/3|schwarz|adidas|126.93|1|2|5|2017-10-01|6
11725|45 1/3|schwarz|adidas|126.93|1|2|5|2017-10-01|9
11725|46|schwarz|adidas|126.93|1|2|5|2017-10-01|9
11725|46 2/3|schwarz|adidas|126.93|1|2|5|2017-10-01|7
22169|39 1/3|schwarz|adidas|88.83|1|2|5|2017-10-01|8
22169|40 2/3|schwarz|adidas|88.83|1|2|5|2017-10-01|15
22169|41 1/3|schwarz|adidas|88.83|1|2|5|2017-10-01|3
22169|42|schwarz|adidas|88.83|1|2|5|2017-10-01|19
22169|42 2/3|schwarz|adidas|88.83|1|2|5|2017-10-01|13
22169|43 1/3|schwarz|adidas|88.83|1|2|5|2017-10-01|7
22169|44|schwarz|adidas|88.83|1|2|5|2017-10-01|2
22169|44 2/3|schwarz|adidas|88.83|1|2|5|2017-10-01|2
22169|45 1/3|schwarz|adidas|88.83|1|2|5|2017-10-01|5
22169|46|schwarz|adidas|88.83|1|2|5|2017-10-01|3
22169|46 2/3|schwarz|adidas|88.83|1|2|5|2017-10-01|2
22169|47 1/3|schwarz|adidas|88.83|1|2|5|2017-10-01|6
22169|48|schwarz|adidas|88.83|1|2|5|2017-10-01|1
22169|48 2/3|schwarz|adidas|88.83|1|2|5|2017-10-01|4
