date|trend.11teamsporting43|trend.amazon|trend.bonton|trend.coupon|trend.adidas|trend.asics|trend.Converse|trend.Jako|trend.Jordan|trend.KangaROOS|trend.Nike|trend.PUMA|trend.Reebok|trend.Uhlsport|trend.Under.Armour|trend.clearance
2017/10/1|22|43|16|69|54|81|76|27|41|4|44|77|19|4|38|34
2017/10/2|19|39|18|54|44|77|39|37|43|6|39|53|18|0|49|30
2017/10/3|10|43|20|56|48|86|44|33|49|5|43|69|23|2|29|31
2017/10/4|9|40|14|44|39|56|37|27|41|6|38|48|13|4|33|29
2017/10/5|9|39|18|40|38|56|46|31|44|2|32|61|18|0|26|29
2017/10/6|0|38|11|44|44|80|40|36|55|8|45|61|20|8|24|30
2017/10/7|11|43|11|64|52|78|46|26|67|6|49|80|28|9|46|35
2017/10/8|10|45|19|54|49|89|48|26|60|12|46|57|18|4|49|64
2017/10/9|5|39|14|46|33|59|33|26|38|3|31|50|13|4|25|28
2017/10/10|37|39|12|43|37|49|38|35|57|8|36|59|20|0|34|57
2017/10/11|14|41|12|45|38|92|22|33|28|13|32|50|19|10|41|29
2017/10/12|0|36|15|35|45|70|70|27|46|6|34|53|14|6|30|59
2017/10/13|10|37|17|37|30|48|36|22|39|3|32|55|17|4|33|32
2017/10/14|0|37|14|41|44|70|66|26|52|10|47|68|18|12|30|0
2017/10/15|11|42|14|46|42|68|56|22|63|11|41|63|20|2|35|35
2017/10/16|23|35|13|40|35|67|40|16|55|5|36|47|14|2|31|0
2017/10/17|14|37|9|43|34|58|38|25|53|9|31|48|16|2|34|28
2017/10/18|19|36|20|48|31|39|66|11|36|5|30|47|18|8|17|0
2017/10/19|5|36|14|41|32|50|29|25|24|5|34|39|13|4|26|59
2017/10/20|10|36|26|38|35|53|49|30|30|2|31|43|14|2|30|0
2017/10/21|17|42|21|44|45|64|52|32|52|11|43|54|29|5|39|0
2017/10/22|15|43|17|51|43|70|49|47|63|8|39|67|15|2|58|31
2017/10/23|22|40|18|45|33|58|34|43|34|6|34|46|12|6|24|55
2017/10/24|23|39|14|48|32|74|38|30|39|4|33|44|19|2|28|28
2017/10/25|9|38|17|46|35|78|43|26|55|3|31|59|17|4|40|99
2017/10/26|24|37|14|44|32|55|58|25|44|3|31|34|15|6|34|0
2017/10/27|25|38|11|38|34|63|49|25|63|7|34|50|16|10|24|46
2017/10/28|6|41|11|41|41|74|40|30|54|6|42|65|18|7|41|34
2017/10/29|10|42|19|37|44|61|29|39|67|6|38|54|19|8|24|60
2017/10/30|0|40|13|49|35|58|37|51|56|8|37|54|27|6|37|61
2017/10/31|25|39|16|43|35|59|41|34|42|10|35|48|15|2|54|32
2017/11/1|24|40|19|49|36|85|40|32|43|5|37|50|17|4|40|30
2017/11/2|19|41|13|48|35|64|33|38|46|5|34|41|18|2|26|57
2017/11/3|24|43|15|53|34|63|56|39|44|3|34|50|14|8|26|61
2017/11/4|22|44|18|46|43|85|22|61|53|7|40|65|18|2|43|34
2017/11/5|38|48|23|67|42|87|42|45|45|3|44|48|23|4|46|0
2017/11/6|18|43|14|41|35|65|41|42|36|3|32|51|15|4|37|28
2017/11/7|27|44|15|37|35|43|33|63|60|5|33|51|12|0|42|56
2017/11/8|23|45|19|41|32|58|23|43|40|8|38|39|11|0|44|57
2017/11/9|19|42|17|36|31|58|41|23|48|6|34|39|16|2|31|57
2017/11/10|5|43|17|37|37|62|22|39|52|6|33|44|14|4|48|60
2017/11/11|43|49|25|55|52|61|33|36|67|0|48|68|15|2|43|0
2017/11/12|14|50|18|57|47|52|64|50|84|10|42|45|13|4|70|30
2017/11/13|27|46|17|45|33|54|35|46|54|3|33|43|12|4|35|28
2017/11/14|18|47|15|40|33|40|24|45|33|3|32|48|11|2|33|56
2017/11/15|23|46|11|52|37|47|32|36|54|6|32|61|15|0|29|29
2017/11/16|14|47|23|50|37|46|31|28|38|5|30|45|12|4|37|0
2017/11/17|10|46|31|47|35|50|43|33|67|3|34|49|11|0|31|31
2017/11/18|33|51|36|52|53|75|55|46|76|11|41|58|25|7|46|34
2017/11/19|30|56|34|56|43|53|28|42|42|10|43|61|19|2|39|31
2017/11/20|31|67|26|44|36|42|26|36|55|6|42|44|10|4|31|55
2017/11/21|14|62|33|50|38|42|36|45|48|3|38|47|23|0|41|71
2017/11/22|23|60|35|49|53|42|32|32|40|5|45|57|17|12|47|43
2017/11/23|47|68|98|51|54|55|51|49|85|8|60|66|28|6|77|57
2017/11/24|100|100|100|100|85|88|86|43|84|8|95|100|40|0|100|44
2017/11/25|33|64|54|81|100|87|21|27|97|9|62|73|26|2|72|34
2017/11/26|35|66|56|82|65|85|66|42|63|13|49|79|29|4|55|46
2017/11/27|27|59|53|55|42|53|39|36|64|4|39|58|20|2|39|0
2017/11/28|14|52|39|47|40|49|25|34|50|5|35|50|15|2|38|29
2017/11/29|24|50|30|55|34|55|34|41|59|8|35|37|15|0|41|58
2017/11/30|19|51|17|52|40|53|22|39|61|11|35|51|13|0|51|30
2017/12/1|31|51|26|50|37|39|35|25|53|12|39|47|11|4|32|32
2017/12/2|17|55|35|63|49|46|41|38|67|8|45|56|13|2|31|0
2017/12/3|26|59|28|70|47|55|49|46|73|5|47|65|17|4|53|32
2017/12/4|41|54|30|52|39|52|29|49|66|9|34|44|9|0|22|28
2017/12/5|32|52|23|42|38|40|45|40|41|11|34|42|19|8|37|0
2017/12/6|28|55|37|40|37|59|30|33|56|11|32|40|12|4|25|58
2017/12/7|19|54|29|45|39|32|32|30|48|13|36|53|16|2|34|30
2017/12/8|10|53|32|40|36|43|43|34|59|10|36|51|10|6|35|62
2017/12/9|34|57|25|54|57|52|48|61|84|7|47|68|22|0|28|0
