pid|size|cut
10000|XL ( 158-170 )|Cut1
10001|L|Cut2
10003|3 (35-38 )|Cut7
10003|4 ( 39-42 )|Cut2
10003|5 ( 43-46 )|Cut6
10006|XL|Cut1
10008|XL|Cut1
10013|L|Cut1
10013|M|Cut2
10013|S|Cut1
10015|L|Cut1
10015|S|Cut1
10017|L|Cut2
10020|XL|Cut2
10025|140|Cut1
10030|M|Cut1
10031|43|Cut1
10031|44|Cut1
10031|45|Cut1
10035|L ( 152-158 )|Cut5
10035|XL ( 158-170 )|Cut2
10035|XS ( 116-128 )|Cut2
10039|46|Cut1
10042|37	5|Cut1
10043|L|Cut2
10043|XL|Cut1
10046|L|Cut1
10046|M|Cut3
10046|S|Cut4
10048|42|Cut1
10050|M|Cut1
10051|M ( 140-152 )|Cut1
10051|XL ( 158-170 )|Cut1
10057|176|Cut1
10061|L|Cut4
10062|L|Cut6
10062|M|Cut3
10062|XL|Cut2
10063|L|Cut7
10063|M|Cut6
10063|XL|Cut8
10064|39 1/3|Cut1
10064|41 1/3|Cut2
10064|42|Cut2
10064|44|Cut2
10064|44 2/3|Cut4
10064|46 2/3|Cut2
10064|48|Cut1
10065|2 ( 37-39 )|Cut5
10065|4 ( 43-45 )|Cut3
10069|33|Cut1
10069|34|Cut2
10069|35|Cut4
10069|36|Cut2
10069|37 1/3|Cut4
10070|45	5|Cut1
10073|L ( 40/42 )|Cut5
10073|XL ( 44/46 )|Cut3
10077|36	5|Cut1
10082|L|Cut3
10083|S|Cut1
10084|L|Cut6
10084|M|Cut4
10084|S|Cut4
10085|41|Cut2
10085|42|Cut3
10085|44|Cut2
10085|45	5|Cut1
10093|L ( 152-158 )|Cut5
10094|45	5|Cut1
10096|L|Cut1
10096|M|Cut1
10096|XL|Cut2
10098|37	5|Cut1
10098|38|Cut1
10098|39|Cut1
10102|2XL|Cut1
10102|XL|Cut2
10103|L|Cut1
10104|7 ( L )|Cut1
10105|L ( 40/42 )|Cut1
10108|43|Cut2
10108|45	5|Cut1
10111|XL|Cut2
10115|43 1/3|Cut1
10115|44|Cut1
10116|L|Cut2
10116|M|Cut3
10116|XL|Cut1
