data|trend.11teamsports|trend.Amazon|trend.bonton|trend.coupon|trend.adidas|trend.asics|trend.Converse|trend.Jako|trend.Jordan|trend.KangaROOS|trend.Nike|trend.PUMA|trend.Reebok|trend.Uhlsport|trend.UnderArmour
2017/9/1|13|37|13|37|50|59|55|50|42|41|44|72|45|40|36
2017/9/2|16|41|17|68|64|85|100|47|63|26|60|100|58|24|50
2017/9/3|34|43|17|77|57|85|69|77|51|37|53|89|82|90|36
2017/9/4|12|39|21|42|46|50|44|56|41|35|44|68|37|38|19
2017/9/5|19|38|9|43|47|84|60|42|40|24|47|71|44|58|35
2017/9/6|20|40|11|49|49|66|50|63|49|14|47|66|59|37|35
2017/9/7|15|38|11|50|52|75|43|68|42|18|44|71|65|79|35
2017/9/8|13|38|14|46|50|65|48|62|47|29|45|71|40|50|39
2017/9/9|22|40|14|50|60|72|57|96|67|29|54|81|65|0|54
2017/9/10|21|41|19|62|58|73|53|56|62|52|55|74|64|54|50
2017/9/11|26|40|8|40|45|69|48|72|43|37|42|68|49|55|32
2017/9/12|14|40|9|53|44|67|46|64|43|34|38|60|42|46|40
2017/9/13|14|40|13|55|43|74|45|63|40|20|41|62|51|56|34
2017/9/14|12|39|13|43|44|62|44|83|46|38|41|66|46|76|46
2017/9/15|28|36|13|46|45|66|48|47|50|48|42|54|52|71|31
2017/9/16|33|42|14|42|56|100|56|72|66|39|53|84|83|59|38
2017/9/17|12|42|18|52|56|88|46|87|51|32|54|86|64|54|35
2017/9/18|10|39|11|55|40|73|43|58|42|31|40|54|43|74|39
2017/9/19|26|38|12|38|41|58|35|76|53|27|37|57|42|65|33
2017/9/20|37|38|13|76|41|66|45|61|47|55|40|52|51|47|34
2017/9/21|8|36|14|49|41|54|47|52|44|32|41|70|52|39|31
2017/9/22|13|35|15|53|42|50|41|43|52|22|38|55|49|62|36
2017/9/23|10|39|12|54|55|86|48|62|58|26|47|75|62|48|39
2017/9/24|36|37|13|67|43|68|43|81|57|43|43|69|52|20|31
2017/9/25|14|36|10|38|37|59|31|47|53|43|38|45|47|18|35
2017/9/26|10|37|9|46|40|70|39|45|48|27|38|55|36|93|33
2017/9/27|23|38|14|38|44|62|45|31|47|17|37|59|45|38|31
2017/9/28|8|38|10|54|42|53|36|54|42|32|40|59|44|29|36
2017/9/29|9|37|13|68|42|71|32|46|55|19|41|53|40|51|35
2017/9/30|17|41|21|71|54|80|53|66|59|34|50|85|61|46|39
2017/10/1|16|42|20|68|55|74|63|87|66|31|51|75|57|54|36
2017/10/2|12|40|12|58|46|65|53|44|44|28|44|55|39|19|41
2017/10/3|15|43|12|50|53|62|58|50|53|32|47|74|60|49|49
2017/10/4|12|41|14|47|40|61|40|48|46|31|41|55|50|38|32
2017/10/5|14|38|12|46|42|50|37|56|40|23|38|61|33|18|34
2017/10/6|4|38|11|39|45|61|30|49|50|32|47|57|51|49|25
2017/10/7|12|44|16|51|57|92|55|47|49|53|52|68|60|22|49
2017/10/8|4|46|11|57|53|60|54|69|56|23|48|67|46|21|41
2017/10/9|6|40|11|44|38|65|31|46|36|33|36|52|31|0|32
2017/10/10|18|40|11|48|40|64|26|53|46|27|37|57|41|46|33
2017/10/11|22|41|11|46|40|58|29|58|41|48|39|59|43|75|39
2017/10/12|8|38|11|46|48|67|63|43|42|24|38|45|32|0|26
2017/10/13|7|37|10|39|39|42|38|44|47|33|40|55|46|20|25
2017/10/14|5|39|17|43|47|74|58|29|53|17|49|64|43|48|37
2017/10/15|19|42|16|49|48|55|57|57|60|24|47|66|43|44|38
2017/10/16|6|36|13|40|35|58|41|53|44|24|39|41|37|18|31
2017/10/17|8|37|9|39|36|61|49|46|43|17|36|47|32|0|46
2017/10/18|16|38|9|49|34|40|37|50|40|51|37|43|42|47|21
2017/10/19|12|36|14|46|35|40|38|44|35|28|33|44|44|56|33
2017/10/20|8|37|19|36|35|48|41|59|50|18|36|55|39|30|29
2017/10/21|7|42|18|39|49|63|51|58|60|28|46|61|60|90|32
2017/10/22|17|45|13|55|46|71|38|42|66|29|42|60|37|40|51
2017/10/23|10|40|16|42|36|50|39|60|53|23|37|54|28|62|27
2017/10/24|29|40|14|49|35|43|36|49|44|26|36|50|45|54|30
2017/10/25|14|39|15|53|36|51|32|39|46|20|36|51|30|64|30
2017/10/26|18|39|14|43|35|53|41|33|48|14|36|46|44|66|31
2017/10/27|15|38|14|36|36|63|38|32|54|25|36|50|34|39|29
2017/10/28|12|42|18|42|46|60|46|57|60|36|42|57|46|56|39
2017/10/29|23|43|11|42|43|58|46|77|54|39|42|61|45|49|38
2017/10/30|6|40|9|49|37|58|30|57|61|29|45|55|46|19|47
2017/10/31|24|41|11|47|37|53|36|52|43|26|40|57|37|60|46
2017/11/1|23|42|15|52|37|63|35|63|44|28|39|56|35|38|54
2017/11/2|16|42|15|55|37|50|42|82|44|37|35|47|27|18|36
2017/11/3|23|43|13|46|37|59|35|69|53|14|36|50|44|39|35
2017/11/4|24|44|12|54|48|69|39|78|43|44|48|65|45|22|52
2017/11/5|33|48|17|72|44|77|38|89|57|41|48|51|49|77|52
2017/11/6|14|42|10|44|37|44|29|100|41|10|35|48|32|36|42
2017/11/7|12|44|15|47|37|44|32|69|63|30|37|43|31|18|41
2017/11/8|26|44|16|48|39|51|20|70|51|13|39|42|28|18|46
2017/11/9|6|43|17|41|38|51|37|61|52|24|36|42|34|55|40
2017/11/10|6|43|17|41|39|45|26|62|61|14|36|46|33|38|52
2017/11/11|26|49|20|60|54|60|31|87|83|35|46|65|48|75|48
2017/11/12|12|53|21|54|48|58|44|80|78|39|49|53|39|38|59
2017/11/13|19|46|18|55|34|48|31|54|46|39|33|54|35|35|34
2017/11/14|13|46|16|41|35|42|26|87|47|20|33|43|29|62|34
2017/11/15|12|47|15|69|41|45|27|63|62|30|35|45|32|28|33
2017/11/16|10|46|19|53|38|45|30|75|46|17|34|47|34|19|41
2017/11/17|11|46|20|49|37|53|31|43|46|22|36|44|43|40|38
