date|trend.adidas|trend.asics|trend.Converse|trend.Jako|trend.Jordan|trend.KangaROOS|trend.Nike|trend.PUMA|trend.Reebok|trend.Uhlsport|trend.Under.Armour
2017-10-01|54|81|76|27|41|4|44|77|19|4|38
2017-10-02|44|77|39|37|43|6|39|53|18|0|49
2017-10-03|48|86|44|33|49|5|43|69|23|2|29
2017-10-04|39|56|37|27|41|6|38|48|13|4|33
2017-10-05|38|56|46|31|44|2|32|61|18|0|26
2017-10-06|44|80|40|36|55|8|45|61|20|8|24
2017-10-07|52|78|46|26|67|6|49|80|28|9|46
2017-10-08|49|89|48|26|60|12|46|57|18|4|49
2017-10-09|33|59|33|26|38|3|31|50|13|4|25
2017-10-10|37|49|38|35|57|8|36|59|20|0|34
2017-10-11|38|92|22|33|28|13|32|50|19|10|41
2017-10-12|45|70|70|27|46|6|34|53|14|6|30
2017-10-13|30|48|36|22|39|3|32|55|17|4|33
2017-10-14|44|70|66|26|52|10|47|68|18|12|30
2017-10-15|42|68|56|22|63|11|41|63|20|2|35
2017-10-16|35|67|40|16|55|5|36|47|14|2|31
2017-10-17|34|58|38|25|53|9|31|48|16|2|34
2017-10-18|31|39|66|11|36|5|30|47|18|8|17
2017-10-19|32|50|29|25|24|5|34|39|13|4|26
2017-10-20|35|53|49|30|30|2|31|43|14|2|30
2017-10-21|45|64|52|32|52|11|43|54|29|5|39
2017-10-22|43|70|49|47|63|8|39|67|15|2|58
2017-10-23|33|58|34|43|34|6|34|46|12|6|24
2017-10-24|32|74|38|30|39|4|33|44|19|2|28
2017-10-25|35|78|43|26|55|3|31|59|17|4|40
2017-10-26|32|55|58|25|44|3|31|34|15|6|34
2017-10-27|34|63|49|25|63|7|34|50|16|10|24
2017-10-28|41|74|40|30|54|6|42|65|18|7|41
2017-10-29|44|61|29|39|67|6|38|54|19|8|24
2017-10-30|35|58|37|51|56|8|37|54|27|6|37
2017-10-31|35|59|41|34|42|10|35|48|15|2|54
2017-11-01|36|85|40|32|43|5|37|50|17|4|40
2017-11-02|35|64|33|38|46|5|34|41|18|2|26
2017-11-03|34|63|56|39|44|3|34|50|14|8|26
2017-11-04|43|85|22|61|53|7|40|65|18|2|43
2017-11-05|42|87|42|45|45|3|44|48|23|4|46
2017-11-06|35|65|41|42|36|3|32|51|15|4|37
2017-11-07|35|43|33|63|60|5|33|51|12|0|42
2017-11-08|32|58|23|43|40|8|38|39|11|0|44
2017-11-09|31|58|41|23|48|6|34|39|16|2|31
2017-11-10|37|62|22|39|52|6|33|44|14|4|48
