pid|size|startdate|wait_time|Rcr
10000|XL ( 158-170 )|2017-10-01|50|0
10000|XL ( 158-170 )|2017-11-21|71|1
10001|L|2017-10-01|55|0
10001|L|2017-11-26|6|0
10001|L|2017-12-03|35|0
10001|L|2018-01-08|15|0
10001|L|2018-01-24|7|1
10003|3 (35-38 )|2017-10-01|21|0
10003|3 (35-38 )|2017-10-23|17|0
10003|3 (35-38 )|2017-11-10|20|0
10003|3 (35-38 )|2017-12-01|61|1
10003|4 ( 39-42 )|2017-10-01|60|0
10003|4 ( 39-42 )|2017-12-01|61|1
10003|5 ( 43-46 )|2017-10-01|14|0
10003|5 ( 43-46 )|2017-10-16|0|0
10003|5 ( 43-46 )|2017-10-17|5|0
10003|5 ( 43-46 )|2017-10-23|42|0
10003|5 ( 43-46 )|2017-12-05|56|0
10003|5 ( 43-46 )|2018-01-31|0|1
10006|XL|2017-10-01|77|0
10006|XL|2017-12-18|44|1
10008|XL|2017-10-01|122|1
10013|L|2017-10-27|89|0
10013|L|2018-01-25|6|1
10013|M|2017-10-27|47|0
10013|M|2017-12-14|39|0
10013|M|2018-01-23|1|0
10013|M|2018-01-25|0|0
10013|M|2018-01-26|5|1
10013|S|2017-10-27|27|0
10013|S|2017-11-24|68|1
10015|L|2017-10-01|122|1
10015|S|2017-10-01|74|0
10015|S|2017-12-15|47|1
10017|L|2017-10-01|5|0
10017|L|2017-10-07|48|0
10017|L|2017-11-25|2|0
10017|L|2017-11-28|64|1
10020|XL|2017-10-01|31|0
10020|XL|2017-11-02|22|0
10020|XL|2017-11-25|54|0
10020|XL|2018-01-19|12|1
10025|140|2017-10-01|0|0
10025|140|2017-10-02|121|1
10030|M|2017-10-01|59|0
10030|M|2017-11-30|62|1
10031|43|2017-10-01|122|1
10031|44|2017-10-01|76|0
10031|44|2017-12-17|45|1
10031|45|2017-10-01|122|1
10035|L ( 152-158 )|2017-10-01|13|0
10035|L ( 152-158 )|2017-10-15|14|0
10035|L ( 152-158 )|2017-10-30|2|0
10035|L ( 152-158 )|2017-11-02|4|0
10035|L ( 152-158 )|2017-11-07|35|0
10035|L ( 152-158 )|2017-12-13|0|0
10035|L ( 152-158 )|2017-12-14|3|0
10035|L ( 152-158 )|2017-12-18|0|0
10035|L ( 152-158 )|2017-12-19|38|0
10035|L ( 152-158 )|2018-01-27|4|1
10035|XL ( 158-170 )|2017-10-01|43|0
10035|XL ( 158-170 )|2017-11-14|14|0
10035|XL ( 158-170 )|2017-11-29|15|0
10035|XL ( 158-170 )|2017-12-15|21|0
10035|XL ( 158-170 )|2018-01-06|25|1
10035|XS ( 116-128 )|2017-10-01|32|0
10035|XS ( 116-128 )|2017-11-03|23|0
10035|XS ( 116-128 )|2017-11-27|30|0
10035|XS ( 116-128 )|2017-12-28|34|0
10039|46|2017-10-01|92|0
10039|46|2018-01-02|29|1
10042|37,5|2017-11-10|82|1
10043|L|2017-10-01|79|0
10043|L|2017-12-20|37|0
10043|L|2018-01-27|4|0
10043|XL|2017-10-01|118|0
10043|XL|2018-01-28|2|0
10043|XL|2018-01-31|0|1
10046|L|2017-10-01|38|0
10046|L|2017-11-09|83|1
10046|M|2017-10-01|46|0
10046|M|2017-11-17|19|0
10046|M|2017-12-07|4|0
10046|M|2017-12-12|34|0
10046|M|2018-01-16|15|1
10046|S|2017-10-01|24|0
10046|S|2017-10-26|38|0
10046|S|2017-12-04|4|0
10046|S|2017-12-09|1|0
10046|S|2017-12-11|6|0
10046|S|2017-12-18|5|0
10046|S|2017-12-24|7|0
10046|S|2018-01-01|30|1
10048|42|2017-10-01|20|0
10048|42|2017-10-22|80|0
10048|42|2018-01-11|20|1
10050|M|2018-01-10|15|0
10050|M|2018-01-26|5|1
10051|M ( 140-152 )|2017-10-01|35|0
10051|M ( 140-152 )|2017-11-06|86|1
10051|XL ( 158-170 )|2017-10-01|35|0
10051|XL ( 158-170 )|2017-11-06|9|0
10051|XL ( 158-170 )|2017-11-16|76|1
10057|176|2017-10-01|21|0
10057|176|2017-10-23|100|1
10061|L|2017-10-01|3|0
10061|L|2017-10-05|51|0
10061|L|2017-11-26|0|0
10061|L|2017-11-27|18|0
10061|L|2017-12-16|14|0
10061|L|2017-12-31|5|0
10061|L|2018-01-06|4|0
10061|L|2018-01-11|2|0
10061|L|2018-01-14|17|1
10062|L|2017-10-01|6|0
10062|L|2017-10-08|1|0
10062|L|2017-10-10|9|0
10062|L|2017-10-20|4|0
10062|L|2017-10-25|9|0
10062|L|2017-11-04|7|0
10062|L|2017-11-12|13|0
10062|L|2017-11-26|3|0
10062|L|2017-11-30|3|0
10062|L|2017-12-04|3|0
10062|L|2017-12-08|0|0
10062|L|2017-12-09|5|0
10062|L|2017-12-15|17|0
10062|L|2018-01-02|24|0
10062|L|2018-01-27|4|1
10062|M|2017-10-01|3|0
10062|M|2017-10-05|15|0
10062|M|2017-10-21|3|0
10062|M|2017-10-25|0|0
10062|M|2017-10-26|22|0
10062|M|2017-11-18|74|1
10062|XL|2017-10-01|4|0
10062|XL|2017-10-06|60|0
10062|XL|2017-12-06|6|0
10062|XL|2017-12-13|49|1
10063|L|2017-10-01|8|0
10063|L|2017-10-10|6|0
10063|L|2017-10-17|6|0
10063|L|2017-10-24|0|0
10063|L|2017-10-25|79|0
10063|L|2018-01-13|13|0
10063|L|2018-01-27|3|0
10063|L|2018-01-31|0|0
10063|M|2017-10-01|4|0
10063|M|2017-10-06|18|0
10063|M|2017-10-25|52|0
10063|M|2017-12-17|9|0
10063|M|2017-12-27|19|0
10063|M|2018-01-16|10|0
10063|M|2018-01-27|4|0
10063|XL|2017-10-01|0|0
10063|XL|2017-10-02|1|0
10063|XL|2017-10-04|5|0
10063|XL|2017-10-10|0|0
10063|XL|2017-10-11|13|0
10063|XL|2017-10-25|43|0
10063|XL|2017-12-08|0|0
10063|XL|2017-12-09|2|0
10063|XL|2017-12-12|1|0
10063|XL|2017-12-14|0|0
10063|XL|2017-12-15|1|0
10063|XL|2017-12-17|2|0
10063|XL|2017-12-20|6|0
10063|XL|2017-12-27|0|0
10063|XL|2017-12-28|0|0
10063|XL|2017-12-29|5|0
10063|XL|2018-01-04|8|0
10063|XL|2018-01-13|1|0
10063|XL|2018-01-15|2|0
10063|XL|2018-01-18|12|0
10063|XL|2018-01-31|0|1
10064|39 1/3|2017-10-01|54|0
10064|39 1/3|2017-11-25|67|1
10064|41 1/3|2017-10-01|8|0
