"","pid","size","comp.clust.trans"
"1","10063","M",1
"2","10065","2 ( 37-39 )",2
"3","10065","4 ( 43-45 )",3
"4","10073","L ( 40/42 )",2
"5","10125","L",3
"6","10125","M",1
"7","10125","XL",1
"8","10158","L",4
"9","10158","M",5
"10","10169","4 ( 43-45 )",3
"11","10170","L ( 42-46 )",6
"12","10197","L ( 42-46 )",7
"13","10197","M ( 38-42 )",5
"14","10219","XL",2
"15","10276","L ( 42-46 )",2
"16","10290","L",7
"17","10290","M",2
"18","10306","L ( 42-46 )",4
"19","10306","M ( 38-42 )",5
"20","10306","S ( 34-38 )",2
"21","10312","42 2/3",3
"22","10312","43 1/3",7
"23","10312","44",2
"24","10312","44 2/3",4
"25","10312","45 1/3",5
"26","10333","L ( 42-46 )",8
"27","10333","M ( 38-42 )",7
"28","10333","XL (46-50 )",3
"29","10365","L",1
"30","10365","M",4
"31","10378","L",2
"32","10378","M",1
"33","10378","S",2
"34","10378","XL",3
"35","10396","L",3
"36","10402","L",1
"37","10402","M",1
"38","10402","S",1
"39","10402","XL",1
"40","10416","41 1/3",3
"41","10416","42",4
"42","10416","42 2/3",4
"43","10416","43 1/3",1
"44","10416","44",5
"45","10416","44 2/3",1
"46","10416","45 1/3",2
"47","10416","46",7
"48","10416","46 2/3",1
"49","10416","47 1/3",5
"50","10439","L",3
"51","10439","M",5
"52","10447","2XL",8
"53","10447","L",4
"54","10447","M",7
"55","10447","S",7
"56","10447","XL",1
"57","10456","L ( 152-158 )",7
"58","10456","M ( 140-152 )",5
"59","10456","XL ( 158-170 )",7
"60","10463","M",5
"61","10467","L",8
"62","10467","M",2
"63","10559","2 ( 37-39 )",7
"64","10559","4 ( 43-45 )",3
"65","10609",NA,5
"66","10616","L",6
"67","10616","M",7
"68","10616","S",5
"69","10616","XL",3
"70","10619","L",1
"71","10619","M",6
"72","10619","S",2
"73","10619","XL",1
"74","10645","2XL",2
"75","10645","3XL",2
"76","10645","L",2
"77","10645","M",9
"78","10645","S",1
"79","10645","XL",2
"80","10686","M",1
"81","10706","L ( 152-158 )",6
"82","10706","XL ( 158-170 )",7
"83","10717","XL",2
"84","10733","XL ( 158-170 )",1
"85","10748","4 ( 43-45 )",5
"86","10756","L ( 42-46 )",2
"87","10759","L",7
"88","10759","M",4
"89","10772","L",8
"90","10772","M",5
"91","10772","S",1
"92","10772","XL",1
"93","10794","L ( 152-158 )",2
"94","10794","M ( 140-152 )",1
"95","10794","S ( 128-140 )",5
"96","10794","XL ( 158-170 )",9
"97","10828","L ( 42-46 )",1
"98","10828","M ( 38-42 )",2
"99","10849","L",7
"100","10849","M",9
"101","10849","S",5
"102","10878","L",3
"103","10878","M",5
"104","10878","S",1
"105","10878","XL",8
"106","10886","L",5
"107","10886","M",1
"108","10886","S",3
"109","10886","XL",2
"110","10912","2XL",5
"111","10912","L",8
"112","10912","M",4
"113","10912","S",1
"114","10912","XL",7
"115","10953","L",7
"116","10987","4 ( 43-45 )",2
"117","11025","L",5
"118","11025","S",3
"119","11025","XL",10
"120","11034","4 ( 43-46 )",2
"121","11035","L",2
"122","11037","L",2
"123","11075","L",5
"124","11075","M",2
"125","11093","43 1/3",5
"126","11093","44 2/3",5
"127","11093","45 1/3",2
"128","11101","L",7
"129","11101","M",4
"130","11106","4 ( 43-45 )",3
"131","11172","L",2
"132","11172","M",2
"133","11172","S",5
"134","11172","XL",3
"135","11205","M",1
"136","11241","L",3
"137","11241","M",1
"138","11250","L",7
"139","11250","M",4
"140","11250","S",1
"141","11250","XL",5
"142","11252","140",10
"143","11252","152",3
"144","11252","164",5
"145","11256","L",7
"146","11256","M",2
"147","11260","L",4
"148","11260","M",3
"149","11260","S",5
"150","11260","XL",5
"151","11269","2 ( 37-39 )",1
"152","11293","L",2
"153","11293","M",1
"154","11293","XL",4
"155","11317","L",1
"156","11317","M",3
"157","11317","S",2
"158","11317","XL",8
"159","11324","XL ( 158-170 )",8
"160","11391","L",1
"161","11391","M",7
"162","11395","L",2
"163","11395","M",7
"164","11411","L",2
"165","11411","M",2
"166","11426","S",10
"167","11433","L",2
"168","11433","M",1
"169","11433","S",10
"170","11433","XL",3
"171","11472","3 ( 40-42 )",10
"172","11472","4 ( 43-45 )",4
"173","11472","5 ( 46-48 )",2
"174","11475","L",1
"175","11475","M",4
"176","11509","4 ( 43-45 )",5
"177","11523","L ( 152-158 )",8
"178","11523","XL ( 158-170 )",1
"179","11581","152",4
"180","11581","164",1
"181","11582","140",4
"182","11582","152",3
"183","11582","164",5
"184","11582","176",7
"185","11583","L",9
"186","11583","M",10
"187","11583","S",6
"188","11583","XL",3
"189","11584","XL ( 158-170 )",3
"190","11604","L",2
"191","11604","M",2
"192","11604","S",5
"193","11604","XL",2
"194","11614","L",5
"195","11614","M",5
"196","11614","S",6
"197","11669","L",1
"198","11669","S",3
"199","11669","XL",1
"200","11706","M",7
"201","11733","L",2
"202","11739","L",1
"203","11739","M",1
"204","11757","L",1
"205","11757","M",1
"206","11762","L",2
"207","11762","M",4
"208","11762","S",5
"209","11803","140/152",7
"210","11803","164/176",4
"211","11809","L",4
"212","11809","M",1
"213","11810","L",10
"214","11810","M",4
"215","11810","S",7
"216","11810","XL",2
"217","11860","L ( 42-46 )",9
"218","11860","M ( 38-42 )",7
"219","11913","S ( 34-38 )",2
"220","11929","L",5
"221","11929","XL",1
"222","11935","L",2
"223","11935","M",10
"224","11957","L",1
"225","11957","M",1
"226","11957","XL",1
"227","12025","L",2
"228","12025","M",10
"229","12025","S",5
"230","12025","XL",4
"231","12028","L",2
"232","12028","M",8
"233","12031","L",1
"234","12031","S",2
"235","12032","S",9
"236","12143","L",4
"237","12143","M",1
"238","12143","XL",5
"239","12161","1 ( Junior)",1
"240","12161","2 ( Senior )",3
"241","12207","L",5
"242","12207","M",4
"243","12207","S",5
"244","12207","XL",1
"245","12236","L",2
"246","12236","M",1
"247","12236","S",5
"248","12250","44",7
"249","12250","45",8
"250","12254","140/152",2
"251","12254","164/176",5
"252","12264","L",2
"253","12324","L",1
"254","12324","M",3
"255","12328","L",2
"256","12328","M",2
"257","12360","M",4
"258","12407","176",1
"259","12408","L ( 42-46 )",2
"260","12463","L",2
"261","12463","M",5
"262","12463","S",2
"263","12472","164",1
"264","12498","1 ( Junior)",10
"265","12498","2 ( Senior )",2
"266","12552","XL ( 158-170 )",10
"267","12575","L",2
"268","12577","L",5
"269","12577","M",4
"270","12577","XL",2
"271","12645","L",2
"272","12645","M",2
"273","12645","S",2
"274","12645","XL",2
"275","12653","L",2
"276","12653","M",3
"277","12660","M",10
"278","12660","S",5
"279","12660","XL",5
"280","12683","L",3
"281","12683","M",4
"282","12683","XL",1
"283","12683","XS",1
"284","12703","41 1/3",4
"285","12703","42",1
"286","12703","42 2/3",8
"287","12703","43 1/3",1
"288","12703","44",2
"289","12703","44 2/3",1
"290","12703","45 1/3",1
"291","12717","164",2
"292","12720","2XL",5
"293","12720","L",1
"294","12720","M",2
"295","12720","S",7
"296","12720","XL",1
"297","12755","38",4
"298","12765","176",9
"299","12771","L",2
"300","12771","M",5
"301","12786","L",2
"302","12786","M",5
"303","12786","XL",3
"304","12789","L ( 42-46 )",1
"305","12844","4 ( 43-45 )",5
"306","12861","L ( 42-46 )",3
"307","12861","M ( 38-42 )",7
"308","12896","L",4
"309","12896","M",1
"310","12918","L",1
"311","12918","S",2
"312","12918","XL",4
