pid|size|color|brand|rrp|mainCategory|category|subCategory|stock|releaseDate
10000|XL ( 158-170 )|gruen|Nike|25.33|1|7|25|1|2017-10-01
10001|L|schwarz|Jako|38.03|1|7|16|1|2017-10-01
10003|3 (35-38 )|weiss|Jako|12.63|1|7|13|1|2017-10-01
10003|4 ( 39-42 )|weiss|Jako|12.63|1|7|13|1|2017-10-01
10003|5 ( 43-46 )|weiss|Jako|12.63|1|7|13|1|2017-10-01
10006|XL|blau|Under Armour|57.08|15|24||1|2017-10-01
10008|XL|blau|PUMA|25.33|1|7|8|12|2017-10-01
10013|L|schwarz|adidas|69.78|1|7|16|1|2017-10-27
10013|M|schwarz|adidas|69.78|1|7|16|1|2017-10-27
10013|S|schwarz|adidas|69.78|1|7|16|1|2017-10-27
10015|L|blau|PUMA|25.33|1|7|8|5|2017-10-01
10015|S|blau|PUMA|25.33|1|7|8|1|2017-10-01
10017|L|blau|Under Armour|69.78|15|33||1|2017-10-01
10020|XL|rot|Nike|50.73|9|10|14|1|2017-10-01
10025|140|gruen|Uhlsport|50.73|1|7|31|1|2017-10-01
10030|M|gruen|New Balance|107.88|9|10|35|1|2017-10-01
10031|43|blau|Converse|88.83|9|18|32|2|2017-10-01
10031|44|blau|Converse|88.83|9|18|32|1|2017-10-01
10031|45|blau|Converse|88.83|9|18|32|3|2017-10-01
10035|L ( 152-158 )|rot|Nike|63.43|1|7|22|1|2017-10-01
10035|XL ( 158-170 )|rot|Nike|63.43|1|7|22|3|2017-10-01
10035|XS ( 116-128 )|rot|Nike|63.43|1|7|22|1|2017-10-01
10039|46|schwarz|Asics|126.93|9|18|32|1|2017-10-01
10042|37,5|blau|Nike|88.83|1|37|6|2|2017-11-10
10043|L|weiss|adidas|38.03|1|7|8|1|2017-10-01
10043|XL|weiss|adidas|38.03|1|7|8|1|2017-10-01
10046|L|orange|Nike|82.48|1|7|21|5|2017-10-01
10046|M|orange|Nike|82.48|1|7|21|2|2017-10-01
10046|S|orange|Nike|82.48|1|7|21|1|2017-10-01
10048|42|schwarz|Mizuno|406.33|1|2|3|1|2017-10-01
10050|M|schwarz|PUMA|50.73|1|7|16|1|2018-01-10
10051|M ( 140-152 )|weiss|Nike|25.33|1|7|21|1|2017-10-01
10051|XL ( 158-170 )|weiss|Nike|25.33|1|7|21|2|2017-10-01
10057|176|rot|PUMA|22.22|1|7|25|1|2017-10-01
10061|L|schwarz|adidas|63.43|9|10|35|1|2017-10-01
10062|L|gruen|adidas|88.83|1|7|28|1|2017-10-01
10062|M|gruen|adidas|88.83|1|7|28|1|2017-10-01
10062|XL|gruen|adidas|88.83|1|7|28|1|2017-10-01
10063|L|blau|adidas|18.98|1|7|8|3|2017-10-01
10063|M|blau|adidas|18.98|1|7|8|5|2017-10-01
10063|XL|blau|adidas|18.98|1|7|8|1|2017-10-01
10064|39 1/3|rot|adidas|165.03|1|2|3|1|2017-10-01
10064|41 1/3|rot|adidas|165.03|1|2|3|1|2017-10-01
10064|42|rot|adidas|165.03|1|2|3|1|2017-10-01
10064|44|rot|adidas|165.03|1|2|3|3|2017-10-01
10064|44 2/3|rot|adidas|165.03|1|2|3|1|2017-10-01
10064|46 2/3|rot|adidas|165.03|1|2|3|1|2017-10-01
10064|48|rot|adidas|165.03|1|2|3|1|2017-10-01
10065|2 ( 37-39 )|blau|adidas|8.82|1|7|12|16|2017-10-01
10065|4 ( 43-45 )|blau|adidas|8.82|1|7|12|31|2017-10-01
10069|33|schwarz|adidas|76.13|1|37|3|1|2017-10-01
10069|34|schwarz|adidas|76.13|1|37|3|1|2017-10-01
10069|35|schwarz|adidas|76.13|1|37|3|1|2017-10-01
10069|36|schwarz|adidas|76.13|1|37|3|3|2017-10-01
10069|37 1/3|schwarz|adidas|76.13|1|37|3|1|2017-10-01
10070|45,5|schwarz|Nike|152.33|1|2|3|1|2017-10-01
10073|L ( 40/42 )|schwarz|Nike|38.03|1|7|16|7|2017-10-01
10073|XL ( 44/46 )|schwarz|Nike|38.03|1|7|16|6|2017-10-01
10077|36,5|gelb|Nike|63.43|1|37|3|1|2017-10-01
10082|L|weiss|adidas|50.73|9|10|14|1|2017-10-01
10083|S|khaki|Nike|38.03|9|10|25|2|2017-10-01
10084|L|schwarz|Jako|38.03|1|7|16|1|2017-10-01
10084|M|schwarz|Jako|38.03|1|7|16|2|2017-10-01
10084|S|schwarz|Jako|38.03|1|7|16|1|2017-10-01
10085|41|schwarz|Nike|114.23|1|2|6|1|2017-10-01
10085|42|schwarz|Nike|114.23|1|2|6|1|2017-10-01
10085|44|schwarz|Nike|114.23|1|2|6|2|2017-10-01
10085|45,5|schwarz|Nike|114.23|1|2|6|1|2017-10-01
10093|L ( 152-158 )|gruen|Nike|31.68|1|7|21|1|2017-10-01
10094|45,5|weiss|Nike|177.73|9|18|32|1|2017-10-01
10096|L|rot|adidas|50.73|1|7|25|8|2017-10-01
10096|M|rot|adidas|50.73|1|7|25|7|2017-10-01
10096|XL|rot|adidas|50.73|1|7|25|2|2017-10-01
10098|37,5|weiss|Nike|101.53|9|37|32|1|2017-10-01
10098|38|weiss|Nike|101.53|9|37|32|1|2017-10-01
10098|39|weiss|Nike|101.53|9|37|32|4|2017-10-01
10102|2XL|blau|Nike|38.03|1|7|8|2|2017-10-01
10102|XL|blau|Nike|38.03|1|7|8|3|2017-10-01
10103|L|weiss|adidas|44.38|9|10|25|1|2017-10-01
10104|7 ( L )|blau|Erima|44.38|1|7|22|1|2017-10-01
10105|L ( 40/42 )|schwarz|Nike|76.13|9|10|14|1|2017-10-01
10108|43|schwarz|Nike|177.73|9|18|32|1|2017-10-01
10108|45,5|schwarz|Nike|177.73|9|18|32|1|2017-10-01
10111|XL|blau|Nike|57.08|1|7|20|4|2017-10-01
10115|43 1/3|weiss|adidas|126.93|9|18|32|2|2017-11-22
10115|44|weiss|adidas|126.93|9|18|32|1|2017-11-22
