feature,Gain,IncNodePurity,High,Low
X.Intercept.,NA,0,0,1
subCategory44,6.90E-07,0.444522527,0,1
brandKempa,4.41E-07,1.382133333,0,1
size4EX,1.88E-06,2.3616,0,1
subCategory43,2.34E-06,3.358944134,0,1
brandSells,2.82E-05,7.093888889,0,1
brandOnitsuka,2.60E-08,15.50867748,0,1
brandKangaROOS,2.80E-05,25.22637717,0,1
subCategory19,2.78E-08,45.33329546,0,1
brandAsics,5.73E-06,57.17394597,0,1
brandFREAM,0.000122111,67.74358238,0,1
subCategory34,8.61E-06,100.1417566,0,1
relweekdaySaturday,2.67E-07,105.5137663,0,1
brandStance,2.86E-05,128.848355,0,1
relmonthweek5,8.25E-06,144.2135585,0,1
brandReusch,2.39E-05,178.9990721,0,1
category30,7.37E-06,191.6154278,0,1
subCategory41,4.50E-05,210.6793611,0,1
brandCinquestelle,1.08E-05,224.8958581,0,1
brandDiadora,9.29E-06,226.0153992,0,1
date.wm6,4.25E-06,237.3576119,0,1
subCategory27,3.77E-07,266.7147305,0,1
colorbraun,3.54E-05,271.3481892,0,1
brandMizuno,8.25E-05,330.2104832,0,1
subCategory30,NA,335.8204406,0,1
brandReebok,8.83E-05,383.8028494,0,1
brandLotto,2.22E-05,414.5625593,0,1
colorsilber,4.52E-05,430.032265,0,1
size46,7.23E-05,507.3880655,0,1
colorkhaki,6.17E-05,559.4847936,0,1
colortuerkis,9.56E-05,597.2840658,0,1
brandJordan,0.00014457,601.8014698,0,1
subCategory42,5.74E-05,664.5985162,0,1
brandUhlsport,0.000189667,885.2143915,0,0
colorrosa,0.000289176,895.4614067,0,0
brandSport2000,8.57E-05,921.5428138,0,0
subCategory29,5.36E-05,955.6325624,0,0
brandUnder.Armour,0.000108294,967.9611007,0,0
brandNew.Balance,0.000162807,1020.838764,0,0
subCategory38,7.09E-05,1070.929244,0,0
colorgold,0.000142869,1090.991743,0,0
brandErima,0.00011305,1190.050747,0,0
subCategory26,0.000120578,1206.152033,0,0
category24,0.000193736,1227.068286,0,0
brandHummel,0.000113024,1234.646009,0,0
colorpink,0.000253502,1304.610099,0,0
