,feature,IncNodePurity1,IncNodePurity2,IncNodePurity3,Gain,Gain1,Gain2,Gain3,High1(7),High2(6),Low1(5-50),Low2(6-100),RF_High,GB_High,RF_Low,GB_Low
1,trendXstock_trend.11teamsporting43,9996.963538,8411.069419,6722.64127,0.023910844,0.012224066,0.031561129,0.031058076,1,1,0,0,1,1,0,0
2,trendXstock_trend.Converse,10374.82458,8316.714913,7522.698823,0.002767263,0.003741352,0.003591568,0.003110444,1,1,0,0,1,1,0,0
3,trendXstock_trend.coupon,9000.34297,8307.315626,7673.585987,0.038552083,0.051222815,0.020511254,0.046376388,1,1,0,0,1,1,0,0
4,trendXstock_trend.PUMA,9553.902686,8175.494945,6905.003925,0.010982572,0.015861179,0.009599056,0.009805647,1,1,0,0,1,1,0,0
5,trendXstock_trend.Jako,10439.45548,8112.508432,6683.235411,0.003710899,0.035420463,0.003969179,0.009650306,1,1,0,0,1,1,0,0
6,trendXstock_trend.Nike,11192.42931,8054.292308,6524.341376,0.019860781,0.01358221,0.016504472,0.011215031,1,1,0,0,1,1,0,0
7,trendXstock_trend.Jordan,12702.53771,7458.560514,7695.870527,0.001996794,0.002004106,0.002077769,0.001960907,1,1,0,0,1,1,0,0
8,trendXstock_trend.amazon,9552.536927,7433.971684,7045.332271,0.122119586,0.092159023,0.100126212,0.042275221,1,1,0,0,1,1,0,0
9,trendXstock_trend.adidas,10695.24522,7252.148219,7590.26538,0.005188299,0.028902729,0.019706223,0.034480254,1,1,0,0,1,1,0,0
10,trendXstock_trend.bonton,11712.40832,7228.958294,6295.933193,0.025218831,0.018233806,0.028046806,0.055866441,1,1,0,0,1,1,0,0
11,trendXstock_trend.Reebok,11333.59536,6785.173608,6927.37862,0.001820032,0.002988324,0.002522224,0.002341868,1,1,0,0,1,1,0,0
12,trendXstock_trend.KangaROOS,10606.10184,6736.000538,5448.895933,0.002615492,0.002503312,0.002477386,0.002538712,1,1,0,0,1,1,0,0
13,trendXstock_trend.Under.Armour,8955.365832,6575.148473,7481.431669,0.002394709,0.002534046,0.004738096,0.019901889,1,1,0,0,1,1,0,0
14,trendXstock_trend.asics,9304.092225,6369.614903,6545.011732,0.003201022,0.003895073,0.003256258,0.003026194,1,1,0,0,1,1,0,0
15,stock,9560.140989,6120.243053,7002.007658,0.018291145,0.005753154,0.028697885,0.005864262,1,1,0,0,1,1,0,0
16,trend.amazonXstock.cut_freq,6319.103013,5798.008683,5002.905308,0.001099802,0.00098627,0.001452827,0.001393525,0,1,0,0,1,1,0,0
17,trend.adidasXstock.cut_freq,5056.416724,5251.16003,5020.547214,0.0004333,0.000724473,0.000506828,0.000686551,0,0,0,0,1,0,0,0
18,stock.units.cut_freq,6813.775783,4899.056271,4496.079907,0.091382639,0.088354888,0.09112564,0.094517553,1,1,0,0,1,1,0,0
19,trend.couponXstock.cut_freq,6381.911816,4871.583597,4489.81982,0.000984577,0.00103551,0.000939359,0.000981613,0,0,0,0,1,0,0,0
20,trend.PUMAXstock.units.cut_freq,5568.342594,4829.247637,3994.796722,0.003123578,0.001689108,0.002141523,0.002586209,1,1,0,0,1,1,0,0
21,trend.NikeXstock.units.cut_freq,5126.735706,4727.698349,4278.091993,0.003817974,0.004402481,0.006854703,0.002906887,1,1,0,0,1,1,0,0
22,trend.ReebokXstock.units.cut_freq,4021.915041,4674.524494,3774.008431,0.001416896,0.007473035,0.001824299,0.001477863,1,1,0,0,1,1,0,0
23,trend.NikeXstock.cut_freq,5790.012813,4633.286154,5731.947193,0.000632571,0.00058934,0.00075814,0.000522462,0,0,0,0,1,0,0,0
24,trend.couponXstock.units.cut_freq,5133.092228,4579.517548,3960.58979,0.009197037,0.005633251,0.004476937,0.011789508,1,1,0,0,1,1,0,0
25,trend.amazonXstock.units.cut_freq,5295.606807,4477.116449,4837.574082,0.003793051,0.002941034,0.004206547,0.004312155,1,1,0,0,1,1,0,0
26,trend.JakoXstock.units.cut_freq,4820.998727,4464.294106,4102.055363,0.002076442,0.002137658,0.002551803,0.00259977,1,1,0,0,1,1,0,0
27,trend.ReebokXstock.cut_freq,6256.662815,4455.712957,4105.69363,0.00038442,0.000396803,0.000499833,0.000557098,0,0,0,0,1,0,0,0
28,trend.JakoXstock.cut_freq,5887.191948,4443.905017,4554.004363,0.000643727,0.001106016,0.001004925,0.000855598,0,0,0,0,1,0,0,0
29,trend.asicsXstock.units.cut_freq,4110.825532,4394.583385,3409.847579,0.00445816,0.004500241,0.00898633,0.003538654,1,1,0,0,1,1,0,0
30,trend.KangaROOSXstock.cut_freq,5724.258047,4351.239077,3205.574988,0.000420231,0.000826443,0.000768215,0.000874291,0,0,0,0,1,0,0,0
31,trend.adidasXstock.units.cut_freq,5959.356782,4274.213984,3941.801322,0.007937761,0.006723218,0.005632975,0.00349022,1,1,0,0,1,1,0,0
32,trend.Under.ArmourXstock.cut_freq,7061.595822,4244.931525,4401.37869,0.00062104,0.000564109,0.000665316,0.000605796,0,0,0,0,1,0,0,0
33,trend.11teamsporting43Xstock.cut_freq,7218.355528,4206.794612,3614.397294,0.001638043,0.001722377,0.001209579,0.00161865,1,1,0,0,1,1,0,0
