ps|all|Cluster_5|Cluster_9|remain5|remain9
10001 - L|4|1|1|0.75|0.75
10003 - 5 ( 43-46 )|5|1|1|0.8|0.8
10008 - XL|4|1|1|0.75|0.75
10013 - M|4|1|1|0.75|0.75
10035 - L ( 152-158 )|9|1|1|0.888888888888889|0.888888888888889
10035 - XL ( 158-170 )|12|1|1|0.916666666666667|0.916666666666667
10035 - XS ( 116-128 )|4|1|1|0.75|0.75
10046 - L|8|1|1|0.875|0.875
10046 - M|8|1|1|0.875|0.875
10051 - XL ( 158-170 )|4|1|1|0.75|0.75
10061 - L|8|1|1|0.875|0.875
10062 - L|14|1|1|0.928571428571429|0.928571428571429
10063 - L|16|1|1|0.9375|0.9375
10063 - M|25|1|1|0.96|0.96
10063 - XL|20|1|1|0.95|0.95
10064 - 44|7|1|1|0.857142857142857|0.857142857142857
10064 - 44 2/3|6|1|1|0.833333333333333|0.833333333333333
10065 - 2 ( 37-39 )|20|1|1|0.95|0.95
10065 - 4 ( 43-45 )|27|123|123|-3.55555555555556|-3.55555555555556
10069 - 35|7|1|1|0.857142857142857|0.857142857142857
10069 - 36|9|1|1|0.888888888888889|0.888888888888889
10069 - 37 1/3|7|1|1|0.857142857142857|0.857142857142857
10073 - L ( 40/42 )|42|1|1|0.976190476190476|0.976190476190476
10073 - XL ( 44/46 )|20|1|1|0.95|0.95
10082 - L|5|1|1|0.8|0.8
10084 - M|14|1|1|0.928571428571429|0.928571428571429
10084 - S|7|1|1|0.857142857142857|0.857142857142857
10085 - 42|5|1|1|0.8|0.8
10093 - L ( 152-158 )|7|1|1|0.857142857142857|0.857142857142857
10096 - M|4|1|1|0.75|0.75
10102 - XL|9|1|1|0.888888888888889|0.888888888888889
10111 - XL|12|1|1|0.916666666666667|0.916666666666667
10116 - M|8|1|1|0.875|0.875
10119 - 39 1/3|5|1|1|0.8|0.8
10119 - 40|5|1|1|0.8|0.8
10119 - 40 2/3|6|1|1|0.833333333333333|0.833333333333333
10119 - 41 1/3|11|1|1|0.909090909090909|0.909090909090909
10119 - 44|8|1|1|0.875|0.875
10119 - 44 2/3|12|1|1|0.916666666666667|0.916666666666667
10119 - 45 1/3|14|1|1|0.928571428571429|0.928571428571429
10119 - 46|12|1|1|0.916666666666667|0.916666666666667
10119 - 46 2/3|9|1|1|0.888888888888889|0.888888888888889
10125 - L|46|1|1|0.978260869565217|0.978260869565217
10125 - M|44|1|1|0.977272727272727|0.977272727272727
10125 - S|18|1|1|0.944444444444444|0.944444444444444
10125 - XL|26|1|1|0.961538461538462|0.961538461538462
10126 - 42|4|1|1|0.75|0.75
10126 - 44|7|1|1|0.857142857142857|0.857142857142857
10131 - 152|10|1|1|0.9|0.9
10131 - 164|7|1|1|0.857142857142857|0.857142857142857
10144 - 44|4|1|1|0.75|0.75
10157 - L|16|1|1|0.9375|0.9375
10157 - M|22|1|1|0.954545454545455|0.954545454545455
10158 - L|31|1|1|0.967741935483871|0.967741935483871
10158 - M|40|1|1|0.975|0.975
10158 - XL|12|1|1|0.916666666666667|0.916666666666667
10160 - M|4|1|1|0.75|0.75
10164 - L ( 152-158 )|22|1|1|0.954545454545455|0.954545454545455
10164 - M ( 140-152 )|25|1|1|0.96|0.96
10164 - S ( 128-140 )|8|1|1|0.875|0.875
10164 - XL ( 158-170 )|30|1|1|0.966666666666667|0.966666666666667
10164 - XS ( 116-128 )|4|1|1|0.75|0.75
10167 - M|27|1|1|0.962962962962963|0.962962962962963
10167 - S|14|1|1|0.928571428571429|0.928571428571429
10169 - 2 ( 37-39 )|6|1|1|0.833333333333333|0.833333333333333
10169 - 3 ( 40-42 )|20|1|1|0.95|0.95
10169 - 4 ( 43-45 )|29|1|1|0.96551724137931|0.96551724137931
10169 - 5 ( 46-48 )|18|1|1|0.944444444444444|0.944444444444444
10170 - L ( 42-46 )|48|1|1|0.979166666666667|0.979166666666667
10170 - M ( 38-42 )|26|1|1|0.961538461538462|0.961538461538462
10170 - S ( 34-38 )|5|1|1|0.8|0.8
10170 - XL (46-50 )|9|1|1|0.888888888888889|0.888888888888889
10170 - XS ( 30-34 )|5|1|1|0.8|0.8
10183 - L ( 42-46 )|6|1|1|0.833333333333333|0.833333333333333
10183 - M ( 38-42 )|5|1|1|0.8|0.8
10186 - 38 2/3|4|1|1|0.75|0.75
10195 - L|13|1|1|0.923076923076923|0.923076923076923
10195 - M|7|1|1|0.857142857142857|0.857142857142857
10195 - XL|4|1|1|0.75|0.75
10197 - L ( 42-46 )|80|1|1|0.9875|0.9875
10197 - M ( 38-42 )|69|1|1|0.985507246376812|0.985507246376812
10197 - S ( 34-38 )|16|1|1|0.9375|0.9375
10197 - XL (46-50 )|22|1|1|0.954545454545455|0.954545454545455
10207 - L|9|1|1|0.888888888888889|0.888888888888889
10207 - M|9|1|1|0.888888888888889|0.888888888888889
10208 - 37,5|6|1|1|0.833333333333333|0.833333333333333
10210 - 40|12|1|1|0.916666666666667|0.916666666666667
10210 - 44,5|9|1|1|0.888888888888889|0.888888888888889
10214 - 44|16|1|1|0.9375|0.9375
10219 - XL|17|25|18|-0.470588235294118|-0.0588235294117647
10227 - 44 2/3|4|1|1|0.75|0.75
10228 - L|7|1|1|0.857142857142857|0.857142857142857
10228 - XL|9|1|1|0.888888888888889|0.888888888888889
10230 - 2 ( 35-38 )|4|1|1|0.75|0.75
10230 - 3 ( 39-42 )|14|1|1|0.928571428571429|0.928571428571429
10230 - 4 ( 43-46 )|12|1|1|0.916666666666667|0.916666666666667
10233 - L|4|1|1|0.75|0.75
10263 - L|17|1|1|0.941176470588235|0.941176470588235
10263 - M|12|1|1|0.916666666666667|0.916666666666667
10263 - XL|5|1|1|0.8|0.8
10275 - 42|5|1|1|0.8|0.8
10275 - 43|19|1|1|0.947368421052632|0.947368421052632
10275 - 44|10|1|1|0.9|0.9
10275 - 44,5|9|1|1|0.888888888888889|0.888888888888889
10275 - 45,5|5|1|1|0.8|0.8
10276 - L ( 42-46 )|17|1|1|0.941176470588235|0.941176470588235
10276 - S ( 34-38 )|14|1|1|0.928571428571429|0.928571428571429
10279 - 4 ( 39-42 )|5|1|1|0.8|0.8
10279 - 5 ( 43-46 )|5|1|1|0.8|0.8
10282 - 40 2/3|4|1|1|0.75|0.75
10282 - 43 1/3|5|1|1|0.8|0.8
10285 - XL ( 158-170 )|9|1|1|0.888888888888889|0.888888888888889
10289 - 46|6|1|1|0.833333333333333|0.833333333333333
10290 - L|32|1|1|0.96875|0.96875
10290 - M|35|1|1|0.971428571428571|0.971428571428571
10290 - S|10|1|1|0.9|0.9
10290 - XL|11|1|1|0.909090909090909|0.909090909090909
10306 - L ( 42-46 )|55|1|1|0.981818181818182|0.981818181818182
10306 - M ( 38-42 )|43|1|1|0.976744186046512|0.976744186046512
10306 - S ( 34-38 )|12|1|1|0.916666666666667|0.916666666666667
10306 - XL (46-50 )|15|1|1|0.933333333333333|0.933333333333333
10312 - 40|8|1|1|0.875|0.875
10312 - 40 2/3|13|1|1|0.923076923076923|0.923076923076923
10312 - 41 1/3|17|1|1|0.941176470588235|0.941176470588235
10312 - 42|28|1|1|0.964285714285714|0.964285714285714
10312 - 42 2/3|48|1|1|0.979166666666667|0.979166666666667
10312 - 43 1/3|50|123|123|-1.46|-1.46
10312 - 44|42|3|2|0.928571428571429|0.952380952380952
10312 - 44 2/3|42|47|3|-0.119047619047619|0.928571428571429
10312 - 45 1/3|37|2|3|0.945945945945946|0.918918918918919
10312 - 46|22|1|1|0.954545454545455|0.954545454545455
10312 - 46 2/3|14|1|1|0.928571428571429|0.928571428571429
10320 - 43/46|10|1|1|0.9|0.9
10325 - 164|10|1|1|0.9|0.9
10331 - L ( 152-158 )|11|1|1|0.909090909090909|0.909090909090909
10331 - XL ( 158-170 )|8|1|1|0.875|0.875
10333 - L ( 42-46 )|53|1|1|0.981132075471698|0.981132075471698
10333 - M ( 38-42 )|41|1|1|0.975609756097561|0.975609756097561
10333 - S ( 34-38 )|10|1|1|0.9|0.9
10333 - XL (46-50 )|20|1|1|0.95|0.95
10333 - XS ( 30-34 )|6|1|1|0.833333333333333|0.833333333333333
10339 - 40|4|3|2|0.25|0.5
10339 - 41 1/3|6|3|3|0.5|0.5
10339 - 42|7|1|2|0.857142857142857|0.714285714285714
10339 - 44|10|3|2|0.7|0.8
10339 - 44 2/3|5|3|3|0.4|0.4
10339 - 45 1/3|12|1|2|0.916666666666667|0.833333333333333
10343 - M|10|1|1|0.9|0.9
10353 - 44|15|1|1|0.933333333333333|0.933333333333333
10353 - 44 2/3|16|1|1|0.9375|0.9375
10353 - 45 1/3|20|1|1|0.95|0.95
10353 - 46|15|3|3|0.8|0.8
10361 - L|19|1|1|0.947368421052632|0.947368421052632
10361 - M|13|1|1|0.923076923076923|0.923076923076923
10361 - S|13|1|1|0.923076923076923|0.923076923076923
10361 - XL|14|1|1|0.928571428571429|0.928571428571429
10365 - L|39|1|1|0.974358974358974|0.974358974358974
10365 - M|25|1|1|0.96|0.96
10365 - S|17|1|1|0.941176470588235|0.941176470588235
10365 - XS|6|1|1|0.833333333333333|0.833333333333333
10368 - 5 ( 43-46 )|6|3|1|0.5|0.833333333333333
10378 - 2XL|10|1|1|0.9|0.9
10378 - L|35|1|1|0.971428571428571|0.971428571428571
10378 - M|29|1|1|0.96551724137931|0.96551724137931
10378 - S|21|1|1|0.952380952380952|0.952380952380952
10378 - XL|18|1|1|0.944444444444444|0.944444444444444
10391 - 140|5|1|1|0.8|0.8
10396 - 2XL|8|1|1|0.875|0.875
10396 - L|16|3|1|0.8125|0.9375
10396 - M|20|1|1|0.95|0.95
10396 - S|8|1|1|0.875|0.875
10396 - XL|20|1|1|0.95|0.95
10402 - 2XL|12|1|1|0.916666666666667|0.916666666666667
10402 - L|61|3|2|0.950819672131147|0.967213114754098
10402 - M|50|1|1|0.98|0.98
10402 - S|29|1|1|0.96551724137931|0.96551724137931
10402 - XL|40|1|1|0.975|0.975
10402 - XS|7|1|1|0.857142857142857|0.857142857142857
10405 - 128|5|1|1|0.8|0.8
10405 - 140|11|1|1|0.909090909090909|0.909090909090909
10405 - 152|10|1|1|0.9|0.9
10405 - 164|17|1|1|0.941176470588235|0.941176470588235
10407 - 38 2/3|4|1|1|0.75|0.75
10408 - 37 1/3|5|1|1|0.8|0.8
10408 - 38 2/3|8|1|1|0.875|0.875
10410 - 4 ( 39-42 )|7|1|1|0.857142857142857|0.857142857142857
10410 - 5 ( 43-46 )|11|1|1|0.909090909090909|0.909090909090909
10413 - L|4|1|1|0.75|0.75
10414 - L|16|1|1|0.9375|0.9375
10414 - M|15|1|1|0.933333333333333|0.933333333333333
10414 - S|6|1|1|0.833333333333333|0.833333333333333
10414 - XL|10|1|1|0.9|0.9
10415 - 2XL|4|1|1|0.75|0.75
10415 - L|23|1|1|0.956521739130435|0.956521739130435
10415 - M|24|1|1|0.958333333333333|0.958333333333333
10415 - XL|18|1|1|0.944444444444444|0.944444444444444
10416 - 39 1/3|21|1|1|0.952380952380952|0.952380952380952
10416 - 40|24|1|1|0.958333333333333|0.958333333333333
10416 - 40 2/3|25|1|1|0.96|0.96
10416 - 41 1/3|40|1|1|0.975|0.975
10416 - 42|50|1|2|0.98|0.96
10416 - 42 2/3|82|1|1|0.98780487804878|0.98780487804878
10416 - 43 1/3|86|1|1|0.988372093023256|0.988372093023256
10416 - 44|80|1|1|0.9875|0.9875
10416 - 44 2/3|80|1|1|0.9875|0.9875
10416 - 45 1/3|79|1|1|0.987341772151899|0.987341772151899
10416 - 46|60|1|3|0.983333333333333|0.95
10416 - 46 2/3|50|1|1|0.98|0.98
10416 - 47 1/3|42|1|1|0.976190476190476|0.976190476190476
10416 - 48|32|1|1|0.96875|0.96875
10421 - 40,5|6|1|1|0.833333333333333|0.833333333333333
10421 - 41|11|1|1|0.909090909090909|0.909090909090909
10421 - 42|9|1|1|0.888888888888889|0.888888888888889
10421 - 42,5|12|1|1|0.916666666666667|0.916666666666667
10421 - 43|23|1|1|0.956521739130435|0.956521739130435
10421 - 44,5|17|1|1|0.941176470588235|0.941176470588235
10421 - 45|13|1|1|0.923076923076923|0.923076923076923
10421 - 46|8|1|1|0.875|0.875
10435 - M ( 140-152 )|4|1|1|0.75|0.75
10435 - XL ( 158-170 )|13|1|1|0.923076923076923|0.923076923076923
10439 - 2XL|5|1|1|0.8|0.8
10439 - L|21|1|1|0.952380952380952|0.952380952380952
10439 - M|30|1|1|0.966666666666667|0.966666666666667
10439 - S|12|1|1|0.916666666666667|0.916666666666667
10439 - XL|16|1|1|0.9375|0.9375
10447 - 2XL|56|1|1|0.982142857142857|0.982142857142857
10447 - L|121|1|1|0.991735537190083|0.991735537190083
10447 - M|122|123|123|-0.00819672131147541|-0.00819672131147541
10447 - S|110|1|1|0.990909090909091|0.990909090909091
10447 - XL|107|30|7|0.719626168224299|0.934579439252336
10452 - 164|9|1|1|0.888888888888889|0.888888888888889
10456 - L ( 152-158 )|88|1|1|0.988636363636364|0.988636363636364
10456 - M ( 140-152 )|72|1|1|0.986111111111111|0.986111111111111
10456 - S ( 128-140 )|38|1|1|0.973684210526316|0.973684210526316
10456 - XL ( 158-170 )|87|1|1|0.988505747126437|0.988505747126437
10463 - 2XL|7|1|1|0.857142857142857|0.857142857142857
10463 - L|26|1|1|0.961538461538462|0.961538461538462
10463 - M|30|1|1|0.966666666666667|0.966666666666667
10463 - S|13|1|1|0.923076923076923|0.923076923076923
10463 - XL|14|1|1|0.928571428571429|0.928571428571429
10466 - 45 1/3|6|1|1|0.833333333333333|0.833333333333333
10467 - L|39|1|1|0.974358974358974|0.974358974358974
10467 - M|27|1|1|0.962962962962963|0.962962962962963
10467 - S|16|1|1|0.9375|0.9375
10467 - XL|16|1|1|0.9375|0.9375
10490 - XL ( 158-170 )|5|1|1|0.8|0.8
10511 - 42 2/3|5|14|3|-1.8|0.4
10514 - L|8|1|1|0.875|0.875
10514 - S|7|1|1|0.857142857142857|0.857142857142857
10514 - XL|5|1|1|0.8|0.8
10523 - L|6|1|1|0.833333333333333|0.833333333333333
10525 - L|10|1|1|0.9|0.9
10525 - M|5|1|1|0.8|0.8
10527 - 37 1/3|4|1|1|0.75|0.75
10527 - 38|4|1|1|0.75|0.75
10558 - 140|9|1|1|0.888888888888889|0.888888888888889
10559 - 2 ( 37-39 )|39|1|1|0.974358974358974|0.974358974358974
10559 - 4 ( 43-45 )|26|1|1|0.961538461538462|0.961538461538462
10574 - 46|5|1|1|0.8|0.8
10574 - 46 2/3|4|1|1|0.75|0.75
10574 - 47 1/3|4|1|1|0.75|0.75
10575 - 42|17|1|1|0.941176470588235|0.941176470588235
10575 - 42 2/3|16|1|1|0.9375|0.9375
10575 - 44|20|1|1|0.95|0.95
10575 - 44 2/3|21|1|1|0.952380952380952|0.952380952380952
10575 - 46|15|1|1|0.933333333333333|0.933333333333333
10575 - 47 1/3|11|1|1|0.909090909090909|0.909090909090909
10575 - 48 2/3|4|1|1|0.75|0.75
10603 - 45,5|5|1|1|0.8|0.8
10607 - 140|8|20|39|-1.5|-3.875
10610 - 164|14|1|1|0.928571428571429|0.928571428571429
10615 - 176|13|1|1|0.923076923076923|0.923076923076923
10616 - 2XL|15|1|1|0.933333333333333|0.933333333333333
10616 - L|87|1|1|0.988505747126437|0.988505747126437
10616 - M|71|1|1|0.985915492957746|0.985915492957746
10616 - S|39|1|1|0.974358974358974|0.974358974358974
10616 - XL|41|1|1|0.975609756097561|0.975609756097561
10617 - 152|6|1|1|0.833333333333333|0.833333333333333
10617 - 164|14|1|1|0.928571428571429|0.928571428571429
10619 - 2XL|15|1|1|0.933333333333333|0.933333333333333
10619 - L|52|1|1|0.980769230769231|0.980769230769231
10619 - M|72|3|3|0.958333333333333|0.958333333333333
10619 - S|37|1|1|0.972972972972973|0.972972972972973
10619 - XL|30|1|1|0.966666666666667|0.966666666666667
10620 - 36 2/3|9|1|1|0.888888888888889|0.888888888888889
10620 - 37 1/3|7|1|1|0.857142857142857|0.857142857142857
10620 - 38|9|1|1|0.888888888888889|0.888888888888889
10620 - 38 2/3|20|1|1|0.95|0.95
10627 - 43|13|1|1|0.923076923076923|0.923076923076923
10627 - 44|14|1|1|0.928571428571429|0.928571428571429
10628 - 4 ( 43-45 )|5|1|1|0.8|0.8
10630 - XL|4|1|1|0.75|0.75
10633 - L|7|1|1|0.857142857142857|0.857142857142857
10633 - M|11|1|1|0.909090909090909|0.909090909090909
10635 - M|7|1|1|0.857142857142857|0.857142857142857
10642 - 43|8|3|2|0.625|0.75
10642 - 44|6|3|1|0.5|0.833333333333333
10645 - 2XL|22|1|1|0.954545454545455|0.954545454545455
10645 - 3XL|12|1|1|0.916666666666667|0.916666666666667
10645 - L|67|1|1|0.985074626865672|0.985074626865672
10645 - M|77|123|123|-0.597402597402597|-0.597402597402597
10645 - S|45|1|1|0.977777777777778|0.977777777777778
10645 - XL|52|1|1|0.980769230769231|0.980769230769231
10664 - L|13|1|1|0.923076923076923|0.923076923076923
10670 - 2XL|5|1|1|0.8|0.8
10671 - 35|5|1|1|0.8|0.8
10671 - 36|5|1|1|0.8|0.8
10680 - L|5|1|1|0.8|0.8
10682 - L ( 152-158 )|4|1|1|0.75|0.75
10686 - L|32|1|1|0.96875|0.96875
10686 - M|41|1|1|0.975609756097561|0.975609756097561
10686 - S|20|1|1|0.95|0.95
10686 - XL|14|1|1|0.928571428571429|0.928571428571429
10692 - L|8|1|1|0.875|0.875
10692 - M|8|1|1|0.875|0.875
10706 - L ( 152-158 )|31|1|1|0.967741935483871|0.967741935483871
10706 - M ( 140-152 )|18|1|1|0.944444444444444|0.944444444444444
10706 - S ( 128-140 )|10|1|1|0.9|0.9
10706 - XL ( 158-170 )|41|1|1|0.975609756097561|0.975609756097561
10706 - XS ( 116-128 )|4|1|1|0.75|0.75
10707 - L|11|1|1|0.909090909090909|0.909090909090909
10707 - M|6|1|1|0.833333333333333|0.833333333333333
10707 - XL|8|1|1|0.875|0.875
10713 - 35|6|1|1|0.833333333333333|0.833333333333333
10713 - 35,5|7|1|1|0.857142857142857|0.857142857142857
10713 - 37,5|5|1|1|0.8|0.8
10713 - 38,5|7|1|1|0.857142857142857|0.857142857142857
10715 - 42|4|1|1|0.75|0.75
10715 - 42 2/3|11|3|3|0.727272727272727|0.727272727272727
10715 - 43 1/3|6|2|2|0.666666666666667|0.666666666666667
10715 - 44|7|3|2|0.571428571428571|0.714285714285714
10715 - 44 2/3|8|1|1|0.875|0.875
10715 - 45 1/3|6|1|3|0.833333333333333|0.5
10717 - 2XL|17|15|120|0.117647058823529|-6.05882352941176
10717 - XL|34|16|4|0.529411764705882|0.882352941176471
10733 - M ( 140-152 )|16|1|1|0.9375|0.9375
10733 - XL ( 158-170 )|39|1|1|0.974358974358974|0.974358974358974
10742 - 43|5|1|1|0.8|0.8
10743 - L|5|1|1|0.8|0.8
10748 - 2 ( 37-39 )|11|1|1|0.909090909090909|0.909090909090909
10748 - 3 ( 40-42 )|20|1|1|0.95|0.95
10748 - 4 ( 43-45 )|35|1|1|0.971428571428571|0.971428571428571
10748 - 5 ( 46-48 )|12|1|1|0.916666666666667|0.916666666666667
10752 - XL ( 158-170 )|7|1|1|0.857142857142857|0.857142857142857
10756 - L ( 42-46 )|31|1|1|0.967741935483871|0.967741935483871
10756 - M ( 38-42 )|14|1|1|0.928571428571429|0.928571428571429
10756 - S ( 34-38 )|7|1|1|0.857142857142857|0.857142857142857
10759 - 2XL|19|1|1|0.947368421052632|0.947368421052632
10759 - L|53|1|1|0.981132075471698|0.981132075471698
10759 - M|52|1|1|0.980769230769231|0.980769230769231
10759 - S|26|1|1|0.961538461538462|0.961538461538462
10759 - XL|23|1|1|0.956521739130435|0.956521739130435
10760 - 43 1/3|16|1|1|0.9375|0.9375
10760 - 44 2/3|11|1|1|0.909090909090909|0.909090909090909
10766 - 4 ( 43-45 )|6|1|1|0.833333333333333|0.833333333333333
10768 - 37,5|5|1|1|0.8|0.8
10772 - 2XL|13|1|1|0.923076923076923|0.923076923076923
10772 - L|94|1|1|0.98936170212766|0.98936170212766
10772 - M|96|3|1|0.96875|0.989583333333333
10772 - S|63|1|1|0.984126984126984|0.984126984126984
10772 - XL|60|1|1|0.983333333333333|0.983333333333333
10779 - 43|4|1|1|0.75|0.75
10785 - L|30|1|1|0.966666666666667|0.966666666666667
10785 - M|19|1|1|0.947368421052632|0.947368421052632
10785 - S|10|1|1|0.9|0.9
10785 - XL|9|1|1|0.888888888888889|0.888888888888889
10794 - L ( 152-158 )|84|1|1|0.988095238095238|0.988095238095238
10794 - M ( 140-152 )|51|1|1|0.980392156862745|0.980392156862745
10794 - S ( 128-140 )|36|1|1|0.972222222222222|0.972222222222222
10794 - XL ( 158-170 )|88|1|1|0.988636363636364|0.988636363636364
10794 - XS ( 116-128 )|22|1|1|0.954545454545455|0.954545454545455
10809 - L|15|1|1|0.933333333333333|0.933333333333333
10809 - M|24|1|1|0.958333333333333|0.958333333333333
10809 - S|11|1|1|0.909090909090909|0.909090909090909
10828 - L ( 42-46 )|90|1|1|0.988888888888889|0.988888888888889
10828 - M ( 38-42 )|69|1|1|0.985507246376812|0.985507246376812
10828 - S ( 34-38 )|18|1|1|0.944444444444444|0.944444444444444
10828 - XL (46-50 )|32|1|1|0.96875|0.96875
10828 - XS ( 30-34 )|14|1|1|0.928571428571429|0.928571428571429
10849 - L|61|1|1|0.983606557377049|0.983606557377049
10849 - M|58|1|1|0.982758620689655|0.982758620689655
10849 - S|40|1|1|0.975|0.975
10849 - XL|27|1|1|0.962962962962963|0.962962962962963
10857 - M|9|1|1|0.888888888888889|0.888888888888889
10859 - 43|4|1|1|0.75|0.75
10862 - 42,5|10|1|1|0.9|0.9
