pid	size	date	TRUE	Pre
15307	44	2018/1/3	0	-0.054285034
19671	42 2/3	2018/1/4	0	0.085331092
19671	44	2018/1/4	0	-0.016256861
19671	44 2/3	2018/1/4	0	0.032272098
15252	43 1/3	2018/1/4	0	0.038733931
15252	45 1/3	2018/1/4	1	0.014098856
17140	42	2018/1/4	0	0.427896478
17140	45 1/3	2018/1/4	0	0.251822144
12703	41 1/3	2018/1/4	0	0.191326828
12703	42	2018/1/4	0	0.152410825
12703	42 2/3	2018/1/4	0	0.2582884
12703	43 1/3	2018/1/4	0	0.458263095
12703	44 2/3	2018/1/4	1	0.333988569
12703	46	2018/1/4	1	0.048522995
11877	41 1/3	2018/1/4	0	0.352959137
11877	42 2/3	2018/1/4	0	0.063955635
11877	44 2/3	2018/1/4	0	0.10605831
21738	42 2/3	2018/1/4	0	0.00535261
21738	43 1/3	2018/1/4	1	0.147203005
21738	45 1/3	2018/1/4	0	0.102747416
21738	48 2/3	2018/1/4	0	0.140714187
22308	M ( 38-42 )	2018/1/4	0	0.546597495
22308	L ( 42-46 )	2018/1/4	0	0.310189996
21974	S ( 34-38 )	2018/1/4	1	0.199289138
21974	M ( 38-42 )	2018/1/4	0	0.662984002
22188	45 1/3	2018/1/4	0	0.204823835
14502	2	2018/1/4	0	-0.147985675
14855	1 ( 140 )	2018/1/4	0	0.399724005
14855	2 ( 152 )	2018/1/4	0	0.741253024
14855	3 ( 164 )	2018/1/4	0	0.422667322
11788	L	2018/1/4	0	0.021303225
13485	3 ( 40-42 )	2018/1/4	2	0.19731693
15122	1 ( 34-36 )	2018/1/4	1	0.051302708
15122	2 ( 37-39 )	2018/1/4	0	-0.058010965
15122	4 ( 43-45 )	2018/1/4	0	1.909593563
15122	5 ( 46-48 )	2018/1/4	2	0.197455844
20162	5 ( 46-48 )	2018/1/4	2	0.04257443
14836	5 ( 46-48 )	2018/1/4	2	0.017592519
21618	4 ( 43-45 )	2018/1/4	0	0.303805348
22144	M ( 38-42 )	2018/1/4	1	3.084873431
22144	L ( 42-46 )	2018/1/4	5	3.831220597
22144	XL (46-50 )	2018/1/4	0	0.495600934
20709	M ( 38-42 )	2018/1/4	5	0.910850033
20709	L ( 42-46 )	2018/1/4	5	3.347859584
16216	S ( 34-38 )	2018/1/4	0	-0.016701523
16216	M ( 38-42 )	2018/1/4	0	1.317703807
16216	L ( 42-46 )	2018/1/4	3	1.291590502
16872	4 ( 43-45 )	2018/1/4	1	0.158233988
16971	1 ( 33-36 )	2018/1/4	0	0.15973009
14793	2XL	2018/1/4	0	0.256793689
14083	2XL	2018/1/4	0	0.158191424
10463	S	2018/1/4	1	0.22683993
22458	2XL	2018/1/4	0	0.167881417
10748	3 ( 40-42 )	2018/1/4	0	0.11414162
10748	5 ( 46-48 )	2018/1/4	0	-0.044397172
16615	L	2018/1/4	0	0.093054035
15289	5	2018/1/4	0	0.137124785
15289	6	2018/1/4	0	-0.026986517
15289	7	2018/1/4	0	0.210423391
15289	8	2018/1/4	0	-0.062666476
16882	7	2018/1/4	0	-0.169176064
18392	4	2018/1/4	0	-0.160276944
10785	S	2018/1/4	0	0.052053889
10785	M	2018/1/4	0	0.056249136
13514	39/42	2018/1/4	0	0.090112332
13922	39/42	2018/1/4	0	0.076636065
13922	43/46	2018/1/4	1	0.332941775
21093	2XL	2018/1/4	0	0.138192078
14351	XS ( 116-128 )	2018/1/4	0	0.077464503
20244	152	2018/1/4	0	0.001707949
16747	140	2018/1/4	1	0.108981921
17229	10 (36-40)	2018/1/4	0	-0.007286033
17229	12 (41-45)	2018/1/4	0	-0.11332469
20969	10 (36-40)	2018/1/4	0	-0.014539957
10707	M	2018/1/4	0	0.238920324
10707	L	2018/1/4	0	0.034922138
16436	S ( 34-38 )	2018/1/4	0	0.069477483
16436	M ( 38-42 )	2018/1/4	0	0.175602131
16436	L ( 42-46 )	2018/1/4	0	1.131176431
16436	XL (46-50 )	2018/1/4	0	-0.048277046
18255	4 ( 39-42 )	2018/1/4	0	-0.118496634
18255	5 ( 43-46 )	2018/1/4	0	-0.104344943
11422	5 ( 43-46 )	2018/1/4	10	-0.098450238
15282	3 (35-38 )	2018/1/4	0	-0.147835232
15282	5 ( 43-46 )	2018/1/4	0	0.646023805
15988	5 ( 43-46 )	2018/1/4	0	-0.094135665
12498	2 ( Senior )	2018/1/4	0	0.662676863
20400	M	2018/1/4	0	-0.204682478
18657	S	2018/1/4	0	0.132733949
18657	M	2018/1/4	0	0.287055793
18657	L	2018/1/4	0	0.484890422
18657	XL	2018/1/4	0	0.032879862
18657	2XL	2018/1/4	0	0.248417913
15482	128	2018/1/4	0	0.091347757
15482	140	2018/1/4	0	0.113128172
15482	152	2018/1/4	0	0.253349857
21875	140	2018/1/4	0	0.168941945
21875	164	2018/1/4	0	0.028547814
11607	S	2018/1/4	0	0.147025209
11607	L	2018/1/4	0	-0.034436482
11607	XL	2018/1/4	0	0.080801586
16224	6	2018/1/4	0	-0.034190415
21626	3 ( 40-42 )	2018/1/4	1	0.012585457
21626	4 ( 43-45 )	2018/1/4	0	-0.049532627
21626	5 ( 46-48 )	2018/1/4	0	0.197644339
13269	45 - 47	2018/1/4	0	-0.126063789
12264	2XL	2018/1/4	0	-0.044761862
11480	140	2018/1/4	0	0.167662399
11480	152	2018/1/4	0	0.179869086
10415	M	2018/1/4	1	-0.12413669
17463	152	2018/1/4	1	0.09331196
17463	164	2018/1/4	1	0.065540283
17246	39	2018/1/4	0	0.02545924
11541	164	2018/1/4	0	-0.171299393
19851	S	2018/1/4	0	0.222307673
20219	2XL	2018/1/4	0	0.084453363
12683	XS	2018/1/4	0	-0.456713431
12683	L	2018/1/4	1	0.242065659
19255	S	2018/1/4	1	0.272195949
13069	164	2018/1/4	0	-0.033367561
16319	XL	2018/1/4	0	0.161472275
13525	164	2018/1/4	0	0.559767377
10131	152	2018/1/4	0	-0.150579743
17148	152	2018/1/4	0	0.275489553
17148	164	2018/1/4	0	0.42532466
10365	L	2018/1/4	0	0.15435141
20686	M	2018/1/4	0	-0.088233237
16166	152	2018/1/4	0	0.169540513
22739	140	2018/1/4	0	-0.102220943
12985	XL	2018/1/4	4	0.638929498
12985	2XL	2018/1/4	4	0.362510375
17690	XL	2018/1/4	0	-0.036695399
21160	116	2018/1/4	0	0.151905754
21160	128	2018/1/4	0	0.085676501
11252	116	2018/1/4	0	0.035358761
11252	128	2018/1/4	0	0.054621894
22244	XL	2018/1/4	1	-0.02092775
12472	152	2018/1/4	0	0.090942671
12472	164	2018/1/4	0	0.199709896
16976	S	2018/1/4	1	-0.017608759
