pid|size|color|brand|rrp|mainCategory|category|subCategory|stock|releaseDate|Product Type|Generalized Size
10000|XL ( 158-170 )|gruen|Nike|25.33|1|7|25.0|1|2017-10-01|C|
10001|L|schwarz|Jako|38.03|1|7|16.0|1|2017-10-01|C|
10003|3 (35-38 )|weiss|Jako|12.63|1|7|13.0|1|2017-10-01|A|1.0
10003|4 ( 39-42 )|weiss|Jako|12.63|1|7|13.0|1|2017-10-01|A|3.0
10003|5 ( 43-46 )|weiss|Jako|12.63|1|7|13.0|1|2017-10-01|A|4.0
10006|XL|blau|Under Armour|57.08|15|24||1|2017-10-01||
10008|XL|blau|PUMA|25.33|1|7|8.0|12|2017-10-01|C|
10013|L|schwarz|adidas|69.78|1|7|16.0|1|2017-10-27|C|
10013|M|schwarz|adidas|69.78|1|7|16.0|1|2017-10-27|C|
10013|S|schwarz|adidas|69.78|1|7|16.0|1|2017-10-27|C|
10015|L|blau|PUMA|25.33|1|7|8.0|5|2017-10-01|C|
10015|S|blau|PUMA|25.33|1|7|8.0|1|2017-10-01|C|
10017|L|blau|Under Armour|69.78|15|33||1|2017-10-01||
10020|XL|rot|Nike|50.73|9|10|14.0|1|2017-10-01|C|
10025|140|gruen|Uhlsport|50.73|1|7|31.0|1|2017-10-01|C|
10030|M|gruen|New Balance|107.88|9|10|35.0|1|2017-10-01|C|
10031|43|blau|Converse|88.83|9|18|32.0|2|2017-10-01|S|3.0
10031|44|blau|Converse|88.83|9|18|32.0|1|2017-10-01|S|4.0
10031|45|blau|Converse|88.83|9|18|32.0|3|2017-10-01|S|4.0
10035|L ( 152-158 )|rot|Nike|63.43|1|7|22.0|1|2017-10-01|C|
10035|XL ( 158-170 )|rot|Nike|63.43|1|7|22.0|3|2017-10-01|C|
10035|XS ( 116-128 )|rot|Nike|63.43|1|7|22.0|1|2017-10-01|C|
10039|46|schwarz|Asics|126.93|9|18|32.0|1|2017-10-01|S|4.0
10042|37,5|blau|Nike|88.83|1|37|6.0|2|2017-11-10|S|1.0
10043|L|weiss|adidas|38.03|1|7|8.0|1|2017-10-01|C|
10043|XL|weiss|adidas|38.03|1|7|8.0|1|2017-10-01|C|
10046|L|orange|Nike|82.48|1|7|21.0|5|2017-10-01|C|
10046|M|orange|Nike|82.48|1|7|21.0|2|2017-10-01|C|
10046|S|orange|Nike|82.48|1|7|21.0|1|2017-10-01|C|
10048|42|schwarz|Mizuno|406.33|1|2|3.0|1|2017-10-01|S|3.0
10050|M|schwarz|PUMA|50.73|1|7|16.0|1|2018-01-10|C|
10051|M ( 140-152 )|weiss|Nike|25.33|1|7|21.0|1|2017-10-01|C|
10051|XL ( 158-170 )|weiss|Nike|25.33|1|7|21.0|2|2017-10-01|C|
10057|176|rot|PUMA|22.22|1|7|25.0|1|2017-10-01|C|
10061|L|schwarz|adidas|63.43|9|10|35.0|1|2017-10-01|C|
10062|L|gruen|adidas|88.83|1|7|28.0|1|2017-10-01|C|
10062|M|gruen|adidas|88.83|1|7|28.0|1|2017-10-01|C|
10062|XL|gruen|adidas|88.83|1|7|28.0|1|2017-10-01|C|
10063|L|blau|adidas|18.98|1|7|8.0|3|2017-10-01|C|
10063|M|blau|adidas|18.98|1|7|8.0|5|2017-10-01|C|
10063|XL|blau|adidas|18.98|1|7|8.0|1|2017-10-01|C|
10064|39 1/3|rot|adidas|165.03|1|2|3.0|1|2017-10-01|S|2.0
10064|41 1/3|rot|adidas|165.03|1|2|3.0|1|2017-10-01|S|3.0
10064|42|rot|adidas|165.03|1|2|3.0|1|2017-10-01|S|3.0
10064|44|rot|adidas|165.03|1|2|3.0|3|2017-10-01|S|4.0
10064|44 2/3|rot|adidas|165.03|1|2|3.0|1|2017-10-01|S|4.0
10064|46 2/3|rot|adidas|165.03|1|2|3.0|1|2017-10-01|S|4.0
10064|48|rot|adidas|165.03|1|2|3.0|1|2017-10-01|S|5.0
10065|2 ( 37-39 )|blau|adidas|8.82|1|7|12.0|16|2017-10-01|A|1.0
10065|4 ( 43-45 )|blau|adidas|8.82|1|7|12.0|31|2017-10-01|A|4.0
10069|33|schwarz|adidas|76.13|1|37|3.0|1|2017-10-01|S|0.0
10069|34|schwarz|adidas|76.13|1|37|3.0|1|2017-10-01|S|0.0
10069|35|schwarz|adidas|76.13|1|37|3.0|1|2017-10-01|S|0.0
10069|36|schwarz|adidas|76.13|1|37|3.0|3|2017-10-01|S|1.0
10069|37 1/3|schwarz|adidas|76.13|1|37|3.0|1|2017-10-01|S|1.0
10070|45,5|schwarz|Nike|152.33|1|2|3.0|1|2017-10-01|S|4.0
